종목코드,종목명,IPO,종가,시가총액,거래량,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,날짜
200780,비씨월드제약,2014-12-15,13500,119157945600,19421,261048900,8892384,11436.0,24.64,1.18,548.0,0.74,100.0,20220330
141000,비아트론,2012-05-04,10550,128415926000,64360,682595050,12114710,11991.0,8.54,0.88,1235.0,0.95,100.0,20220330
093190,빅솔론,2007-08-20,6490,125245271550,46329,300970090,19238905,7691.0,19.1,0.84,340.0,2.31,150.0,20220330
072950,빛샘전자,2012-03-21,7950,49036860330,95088,759209340,6230859,10110.0,40.97,0.79,194.0,0.63,50.0,20220330
065570,삼영이엔씨,2003-01-21,7690,82897996800,117156,897182060,10794010,8463.0,0.0,0.91,0.0,0.91,70.0,20220330
294630,서남,2020-02-20,2995,64060534200,37472,112230705,21389160,594.0,0.0,5.04,0.0,0.0,0.0,20220330
035890,서희건설,1999-12-24,1900,441232237440,2232414,4239148430,229808457,2260.0,3.01,0.84,632.0,2.11,40.0,20220330
053060,세동,2001-08-17,1305,22784004135,87770,114498025,17459007,569.0,0.0,2.29,0.0,0.0,0.0,20220330
340440,세림B&G,2019-12-27,2530,69429502740,43032,108315380,27388364,0.0,0.0,0.0,0.0,0.0,0.0,20220330
067770,세진티에스,2004-01-09,4285,35937418040,15288,65289085,8396593,4915.0,8.4,0.87,510.0,0.0,0.0,20220330
299660,셀리드,2019-02-20,31300,304586309600,64051,2022095350,9731192,4877.0,0.0,6.42,0.0,0.0,0.0,20220330
068760,셀트리온제약,2006-02-03,99100,3615090908800,106977,10642480200,36552992,7995.0,177.6,12.4,558.0,0.0,0.0,20220330
036830,솔브레인홀딩스,2000-01-18,29400,616343246400,35080,1034930100,20964056,49397.0,0.28,0.6,106557.0,0.0,0.0,20220330
304100,솔트룩스,2020-07-23,14300,145879019000,77988,1120736200,10201330,5733.0,242.4,2.49,59.0,0.0,0.0,20220330
086980,쇼박스,2006-07-07,5630,352438000000,760925,4265660520,62600000,2149.0,0.0,2.62,0.0,0.0,0.0,20220330
317770,슈프리마아이디,2019-08-01,16800,51307536000,2333,39028500,3054020,13176.0,64.4,1.28,261.0,0.0,0.0,20220330
049830,승일,2001-01-18,12900,78797639200,63730,831484600,6132112,23032.0,94.9,0.56,136.0,0.66,85.0,20220330
002800,신신제약,2017-02-28,6200,92843460000,43404,267849020,15170500,3704.0,258.2,1.67,24.0,0.0,0.0,20220330
208640,썸에이지,2014-12-29,2420,327997828800,1667873,4054534730,136665762,176.0,0.0,13.75,0.0,0.0,0.0,20220330
050890,쏠리드,2005-07-08,6360,388757414000,629718,4029938940,61221640,2071.0,0.0,3.07,0.0,0.0,0.0,20220330
025980,아난티,1996-01-06,8980,764520841110,489687,4385835110,85230863,4009.0,0.0,2.24,0.0,0.0,0.0,20220330
083930,아바코,2005-10-11,11750,181871016400,20810,246011400,15412798,9106.0,10.85,1.29,1083.0,2.55,300.0,20220330
067390,아스트,2014-12-24,6370,163937251720,85673,544783400,25695494,6206.0,0.0,1.03,0.0,0.0,0.0,20220330
119830,아이텍,2010-10-26,8820,171042846660,83832,736752910,19392613,5477.0,0.0,1.61,0.0,0.0,0.0,20220330
