종목코드,종목명,섹터,날짜
096770,SK이노베이션,에너지,20220317
010950,S-Oil,에너지,20220317
267250,현대중공업지주,에너지,20220317
078930,GS,에너지,20220317
006120,SK디스커버리,에너지,20220317
005090,SGC에너지,에너지,20220317
001390,KG케미칼,에너지,20220317
041590,젬백스지오,에너지,20220317
002960,한국쉘석유,에너지,20220317
046120,오르비텍,에너지,20220317
322000,현대에너지솔루션,에너지,20220317
093230,이아이디,에너지,20220317
091090,세원이앤씨,에너지,20220317
137950,제이씨케미칼,에너지,20220317
099220,SDN,에너지,20220317
024060,흥구석유,에너지,20220317
003650,미창석유,에너지,20220317
014530,극동유화,에너지,20220317
128820,대성산업,에너지,20220317
013810,스페코,에너지,20220317
095910,에스에너지,에너지,20220317
000440,중앙에너비스,에너지,20220317
078940,코드네이처,에너지,20220317
270520,지엔원에너지,에너지,20220317
294630,서남,에너지,20220317
012320,경동인베스트,에너지,20220317
313760,윌링스,에너지,20220317
051910,LG화학,화학,20220317
009830,한화솔루션,화학,20220317
011170,롯데케미칼,화학,20220317
003670,포스코케미칼,화학,20220317
011780,금호석유,화학,20220317
011790,SKC,화학,20220317
010060,OCI,화학,20220317
014680,한솔케미칼,화학,20220317
086520,에코프로,화학,20220317
004000,롯데정밀화학,화학,20220317
285130,SK케미칼,화학,20220317
298050,효성첨단소재,화학,20220317
120110,코오롱인더,화학,20220317
000210,DL,화학,20220317
093370,후성,화학,20220317
005070,코스모신소재,화학,20220317
383310,에코프로에이치엔,화학,20220317
005690,파미셀,화학,20220317
178920,PI첨단소재,화학,20220317
006650,대한유화,화학,20220317
298000,효성화학,화학,20220317
069260,휴켐스,화학,20220317
014830,유니드,화학,20220317
007690,국도화학,화학,20220317
121600,나노신소재,화학,20220317
004430,송원산업,화학,20220317
161000,애경케미칼,화학,20220317
102710,이엔에프테크놀로지,화학,20220317
005420,코스모화학,화학,20220317
089010,켐트로닉스,화학,20220317
104480,티케이케미칼,화학,20220317
002840,미원상사,화학,20220317
003240,태광산업,화학,20220317
005950,이수화학,화학,20220317
104830,원익머트리얼즈,화학,20220317
025860,남해화학,화학,20220317
033500,동성화인텍,화학,20220317
055490,테이팩스,화학,20220317
268280,미원에스씨,화학,20220317
101360,이엔드디,화학,20220317
281740,레이크머티리얼즈,화학,20220317
012610,경인양행,화학,20220317
220260,켐트로스,화학,20220317
251370,와이엠티,화학,20220317
239890,피엔에이치테크,화학,20220317
002810,삼영무역,화학,20220317
006380,카프로,화학,20220317
017890,한국알콜,화학,20220317
102260,동성케미컬,화학,20220317
138490,코오롱플라스틱,화학,20220317
011500,한농화성,화학,20220317
042040,케이피엠테크,화학,20220317
001340,백광산업,화학,20220317
247660,나노씨엠에스,화학,20220317
004090,한국석유,화학,20220317
107590,미원홀딩스,화학,20220317
006840,AK홀딩스,화학,20220317
001570,금양,화학,20220317
025000,KPX케미칼,화학,20220317
003780,진양산업,화학,20220317
290380,대유,화학,20220317
003720,삼영화학,화학,20220317
002360,SH에너지화학,화학,20220317
036640,HRS,화학,20220317
023450,동남합성,화학,20220317
100250,진양홀딩스,화학,20220317
083420,그린케미칼,화학,20220317
014190,원익큐브,화학,20220317
136410,아셈스,화학,20220317
294140,레몬,화학,20220317
006890,태경케미컬,화학,20220317
120240,대정화금,화학,20220317
002100,경농,화학,20220317
092230,KPX홀딩스,화학,20220317
352940,인바이오,화학,20220317
357550,석경에이티,화학,20220317
134380,미원화학,화학,20220317
036670,KCI,화학,20220317
097870,효성오앤비,화학,20220317
007590,동방아그로,화학,20220317
045060,오공,화학,20220317
286750,나노브릭,화학,20220317
196700,웹스,화학,20220317
187790,나노,화학,20220317
003830,대한화섬,화학,20220317
014440,영보화학,화학,20220317
010640,진양폴리,화학,20220317
066430,와이오엠,화학,20220317
101240,씨큐브,화학,20220317
222420,쎄노텍,화학,20220317
001550,조비,화학,20220317
050760,에스폴리텍,화학,20220317
318000,한국바이오젠,화학,20220317
051630,진양화학,화학,20220317
110020,전진바이오팜,화학,20220317
332290,누보,화학,20220317
024070,WISCOM,화학,20220317
008370,원풍,화학,20220317
003080,성보화학,화학,20220317
007770,한일화학,화학,20220317
048830,엔피케이,화학,20220317
115570,스타플렉스,화학,20220317
221980,케이디켐,화학,20220317
000760,이화산업,화학,20220317
010130,고려아연,비철금속,20220317
103140,풍산,비철금속,20220317
078130,국일제지,비철금속,20220317
014820,동원시스템즈,비철금속,20220317
008350,남선알미늄,비철금속,20220317
008730,율촌화학,비철금속,20220317
213500,한솔제지,비철금속,20220317
002310,아세아제지,비철금속,20220317
115390,락앤락,비철금속,20220317
016590,신대양제지,비철금속,20220317
034810,해성산업,비철금속,20220317
081000,일진다이아,비철금속,20220317
001780,알루코,비철금속,20220317
002030,아세아,비철금속,20220317
069460,대호에이엘,비철금속,20220317
004560,현대비앤지스틸,비철금속,20220317
006110,삼아알미늄,비철금속,20220317
005810,풍산홀딩스,비철금속,20220317
009190,대양금속,비철금속,20220317
058430,포스코강판,비철금속,20220317
014160,대영포장,비철금속,20220317
081150,티플랙스,비철금속,20220317
115960,연우,비철금속,20220317
000180,성창기업지주,비철금속,20220317
004150,한솔홀딩스,비철금속,20220317
004540,깨끗한나라,비철금속,20220317
024090,디씨엠,비철금속,20220317
012800,대창,비철금속,20220317
033310,엠투엔,비철금속,20220317
009580,무림P&P,비철금속,20220317
036620,감성코퍼레이션,비철금속,20220317
018470,조일알미늄,비철금속,20220317
272550,삼양패키징,비철금속,20220317
023600,삼보판지,비철금속,20220317
011280,태림포장,비철금속,20220317
037370,EG,비철금속,20220317
124500,아이티센,비철금속,20220317
251970,펌텍코리아,비철금속,20220317
025820,이구산업,비철금속,20220317
032560,황금에스티,비철금속,20220317
009460,한창제지,비철금속,20220317
015890,태경산업,비철금속,20220317
014580,태경비케이,비철금속,20220317
006740,영풍제지,비철금속,20220317
000480,조선내화,비철금속,20220317
010040,한국내화,비철금속,20220317
021050,서원,비철금속,20220317
009620,삼보산업,비철금속,20220317
002200,한국수출포장,비철금속,20220317
009200,무림페이퍼,비철금속,20220317
128660,피제이메탈,비철금속,20220317
177830,파버나인,비철금속,20220317
027970,세하,비철금속,20220317
037230,한국팩키지,비철금속,20220317
004780,대륙제관,비철금속,20220317
075970,동국알앤에스,비철금속,20220317
017650,대림제지,비철금속,20220317
004450,삼화왕관,비철금속,20220317
037760,쎄니트,비철금속,20220317
001020,페이퍼코리아,비철금속,20220317
002820,SUN&L,비철금속,20220317
002870,신풍제지,비철금속,20220317
155660,DSR,비철금속,20220317
001560,제일연마,비철금속,20220317
001810,무림SP,비철금속,20220317
060480,국일신동,비철금속,20220317
010420,한솔PNS,비철금속,20220317
079170,한창산업,비철금속,20220317
340440,세림B&G,비철금속,20220317
049830,승일,비철금속,20220317
014970,삼륭물산,비철금속,20220317
008870,금비,비철금속,20220317
054410,케이피티유,비철금속,20220317
005820,원림,비철금속,20220317
005490,POSCO홀딩스,철강,20220317
004020,현대제철,철강,20220317
001230,동국제강,철강,20220317
016380,KG동부제철,철강,20220317
084010,대한제강,철강,20220317
151860,KG ETS,철강,20220317
001430,세아베스틸,철강,20220317
139990,아주스틸,철강,20220317
004890,동일산업,철강,20220317
104700,한국철강,철강,20220317
003030,세아제강지주,철강,20220317
002240,고려제강,철강,20220317
100130,동국S&C,철강,20220317
009520,포스코엠텍,철강,20220317
306200,세아제강,철강,20220317
001940,KISCO홀딩스,철강,20220317
002710,TCC스틸,철강,20220317
008970,동양철관,철강,20220317
025550,한국선재,철강,20220317
000970,한국주철관,철강,20220317
005160,동국산업,철강,20220317
005010,휴스틸,철강,20220317
007280,한국특강,철강,20220317
039240,경남스틸,철강,20220317
008260,NI스틸,철강,20220317
023440,제일제강,철강,20220317
008420,문배철강,철강,20220317
032860,휴먼엔,철강,20220317
001080,만호제강,철강,20220317
048470,대동스틸,철강,20220317
133820,화인베스틸,철강,20220317
120030,조선선재,철강,20220317
