종목코드,R1D,R1W,R1M,R3M,R6M,R1Y
031330,-2.64,-3.37,-1.27,-18.42,-21.24,38.39
042670,-2.85,-1.37,2.05,-15.65,-45.68,-6.2
122870,-1.62,6.84,18.25,-2.56,3.75,29.85
294870,-3.41,1.63,9.86,-33.19,-44.29,-44.68
020000,-2.5,-2.36,-0.43,-8.59,-4.1,-5.65
005180,-1.12,-0.75,-0.56,-3.11,-5.53,-8.93
101160,-5.35,-7.65,-9.17,-11.29,16.2,32.0
206560,-4.62,-6.53,-25.6,-50.6,52.46,174.34
051600,-0.84,5.04,3.36,-15.01,-2.21,28.03
161000,-2.29,-2.29,-4.66,-14.24,-15.34,-9.91
010780,-1.47,8.05,9.37,24.59,11.87,-3.42
032640,0.38,-0.75,-1.12,-5.38,-5.04,5.18
009410,-2.81,0.21,-5.2,-9.2,-14.42,-20.08
375500,-1.21,5.17,7.02,2.09,-5.06,8.44
047820,-4.77,0.84,-11.13,-35.44,3.23,-11.46
092040,-4.82,-4.82,-14.97,-15.84,-32.24,-22.45
001780,3.51,2.74,0.61,13.79,-0.6,-17.5
032300,-5.85,-9.22,-13.16,-30.89,-41.49,-32.03
001530,-3.78,-7.28,-13.4,-23.48,-42.91,21.42
001040,-1.57,-2.63,1.75,-8.54,-15.21,-13.5
028670,0.62,7.39,25.29,17.63,-15.39,30.54
000240,-2.25,-2.61,-5.78,-18.69,-24.78,-41.22
016590,-0.98,-0.33,4.13,4.61,-5.42,25.1
214450,-0.92,-0.35,12.26,10.67,-8.01,41.61
316140,-1.04,-4.36,-4.04,5.95,32.56,50.79
237690,-4.55,-3.08,-21.35,4.66,-12.44,13.61
060980,-0.97,-0.85,-7.27,-15.18,-6.42,-6.74
104700,-3.12,3.33,4.27,-0.74,-14.62,-0.86
353200,-1.92,6.0,5.28,5.52,32.66,51.49
336260,-5.14,-2.36,-14.6,-31.18,-25.0,-41.69
230240,-4.56,0.74,-12.4,-10.38,31.72,0.18
007810,-0.97,11.21,7.14,42.03,115.03,92.19
005850,-4.65,-6.53,-16.16,-31.69,-11.78,0.21
002240,-1.89,1.46,2.46,2.21,-11.11,42.47
086900,-3.32,2.1,-6.35,-14.85,-33.6,-15.97
000990,0.29,-2.38,-10.98,-10.41,22.28,13.15
298870,-2.49,-4.19,-8.55,,,
017940,4.5,4.27,4.27,-0.2,-11.11,16.61
330590,0.0,0.55,2.62,-3.18,-5.03,8.95
330860,-2.39,-2.72,-6.02,-11.09,0.0,-13.68
095660,-2.6,-9.82,-31.51,-20.91,-40.0,-7.79
079550,-0.33,-0.82,-4.71,8.01,26.85,44.7
023530,-2.08,-1.28,2.67,-13.76,-15.82,-28.91
047040,1.31,10.38,5.47,3.35,-5.95,1.31
058820,-4.5,-4.05,-10.72,-12.62,-30.79,-38.21
082740,-2.56,7.52,3.27,13.1,26.56,26.38
226320,-4.57,1.28,26.03,-1.0,-5.7,-32.25
003800,-1.57,-2.76,2.8,5.9,-12.7,8.91
069080,-9.51,-6.87,-10.06,-12.87,-15.18,-41.64
084370,-4.26,-4.26,-13.31,-17.18,2.16,7.03
095610,-3.84,-2.91,-4.75,-14.94,-5.65,-18.14
038540,-5.13,-5.32,4.01,14.81,12.95,34.57
217330,-0.52,-2.86,0.17,-9.4,-4.15,-2.2
