종목코드,종목명,IPO,종가,시가총액,거래량,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,DT
003720,삼영화학공업,1976-06-30,2545,86530000000,89157,223792015,34000000,1434.0,24.95,1.77,102.0,0.0,0.0,20221212
004380,삼익THK,1989-09-26,12250,257250000000,16116,198834300,21000000,9536.0,21.45,1.28,571.0,2.45,300.0,20221212
010960,삼호개발,2005-05-12,4100,102500000000,33303,136925925,25000000,9871.0,6.6,0.42,621.0,4.63,190.0,20221212
136490,선진,2011-02-16,8880,211162883520,87013,771294970,23779604,17371.0,4.92,0.51,1804.0,1.13,100.0,20221212
004490,세방전지,1987-11-28,45800,641200000000,63903,2956373800,14000000,88025.0,7.28,0.52,6291.0,1.31,600.0,20221212
016590,신대양제지,1995-12-21,85200,343337426400,2220,188703200,4029782,139181.0,5.82,0.61,14644.0,1.47,1250.0,20221212
029530,신도리코,1996-12-24,34500,347761000500,5591,192083450,10080029,99889.0,3.5,0.35,9845.0,4.35,1500.0,20221212
031430,신세계인터내셔날,2011-07-14,26600,949620000000,200489,5355738350,35700000,20084.0,11.57,1.32,2300.0,1.13,300.0,20221212
002870,신풍,1976-06-30,1325,46320277500,51782,68173860,34958700,3226.0,0.0,0.41,0.0,4.53,60.0,20221212
293940,신한알파리츠,2018-08-08,6620,488755414260,32392,215326260,73830123,,,,,,,20221212
055550,신한지주,2001-09-10,38500,19588217456500,994822,38231697200,508784869,88548.0,5.27,0.43,7308.0,5.09,1960.0,20221212
078520,에이블씨엔씨,2011-09-07,5320,143818001880,78033,415563140,27033459,4373.0,0.0,1.22,0.0,0.0,0.0,20221212
006740,영풍제지,1996-07-03,14550,324392250000,281795,4057477000,22295000,7504.0,40.19,1.94,362.0,0.27,40.0,20221212
012280,영화금속,1990-01-25,896,47841476480,39003,35073410,53394505,1156.0,0.0,0.78,0.0,0.0,0.0,20221212
007310,오뚜기,1994-08-12,458000,1835586140000,3171,1448247500,4007830,442610.0,12.04,1.03,38054.0,1.75,8000.0,20221212
271560,오리온,2017-07-07,116500,4605959378000,74485,8727306000,39536132,55935.0,17.87,2.08,6519.0,0.64,750.0,20221212
105840,우진,2010-07-26,9010,183115762140,567821,5168051340,20323614,7106.0,0.0,1.27,0.0,1.11,100.0,20221212
008600,윌비스,1989-07-28,746,50158085094,55051,41139661,67236039,1711.0,0.0,0.44,0.0,0.0,0.0,20221212
033270,유나이티드,2007-10-23,24500,397998139000,89265,2176673150,16244822,20259.0,12.69,1.21,1930.0,1.51,370.0,20221212
023800,인지컨트롤스,1997-06-23,7860,120519054180,33060,259887140,15333213,12678.0,33.59,0.62,234.0,1.91,150.0,20221212
129260,인터지스,2011-12-16,3060,91028494440,77598,239488630,29747874,7246.0,5.9,0.42,519.0,3.27,100.0,20221212
013360,일성건설,1989-12-02,2515,135872573200,259012,654722560,54024880,2021.0,25.66,1.24,98.0,1.19,30.0,20221212
081000,일진다이아,2004-12-22,17500,248552062500,22255,380026700,14202975,28934.0,29.26,0.6,598.0,2.29,400.0,20221212
033240,자화전자,1999-01-06,22500,451338592500,95030,2124679650,20059493,17751.0,17.59,1.27,1279.0,0.0,0.0,20221212
271980,제일약품,2017-07-17,19350,284539273200,338981,6825400100,14704872,11534.0,0.0,1.68,0.0,0.34,65.0,20221212
002620,제일파마홀딩스,1988-01-20,10900,174109569500,726797,8485513700,15973355,26821.0,0.0,0.41,0.0,0.6,65.0,20221212
001550,조비,1976-12-28,15450,80220092550,5951,92012850,5192239,10258.0,43.28,1.51,357.0,0.0,0.0,20221212
001630,종근당홀딩스,1976-06-30,54800,274540382800,490,26851400,5009861,109358.0,17.06,0.5,3212.0,2.55,1400.0,20221212
272450,진에어,2017-12-08,15550,811710000000,341355,5342013300,52200000,3352.0,0.0,4.64,0.0,0.0,0.0,20221212
009070,케이씨티시,1978-09-29,4680,140400000000,109085,513245725,30000000,7431.0,6.87,0.63,681.0,1.28,60.0,20221212
417310,코람코더원리츠,2022-03-28,4425,178770000000,30161,131847830,40400000,,,,,,,20221212
003070,코오롱글로벌,1978-09-15,22400,564713811200,464435,10399783250,25210438,23514.0,4.11,0.95,5454.0,2.23,500.0,20221212
031820,콤텍시스템,1997-02-12,678,82072893948,258656,175053391,121051466,1158.0,24.21,0.59,28.0,0.0,0.0,20221212
020120,키다리스튜디오,1996-07-03,10000,366007410000,6600655,67665321670,36600741,6419.0,87.72,1.56,114.0,0.0,0.0,20221212
004100,태양금속공업,1976-05-25,1645,60371500000,1043036,1737019080,36700000,2312.0,0.0,0.71,0.0,0.3,5.0,20221212
214420,토니모리,2015-07-10,4300,103435635700,164438,713761910,24054799,3829.0,0.0,1.12,0.0,0.0,0.0,20221212
008930,한미사이언스,1988-06-20,34650,2377810650600,259511,9109570450,68623684,10268.0,54.31,3.37,638.0,0.58,200.0,20221212
009240,한샘,2002-07-16,44950,1057850063600,57860,2637413100,23533928,36438.0,13.76,1.23,3266.0,3.45,1550.0,20221212
009180,한솔로지스틱스,1989-11-13,2960,81333178000,79821,236180400,27477425,2859.0,3.46,1.04,855.0,2.03,60.0,20221212
002220,한일철강,1988-10-07,3150,84096999000,25916,82178105,26697460,7201.0,2.99,0.44,1055.0,1.59,50.0,20221212
003300,한일홀딩스,1969-11-20,11100,342245012400,6505,72114700,30832884,44782.0,7.59,0.25,1462.0,4.95,550.0,20221212
009460,한창제지,1987-12-23,1525,90992916150,84018,127730400,59667486,1819.0,6.05,0.84,252.0,1.31,20.0,20221212
088350,한화생명,2010-03-17,2575,2236464750000,2467861,6314403530,868530000,15004.0,1.77,0.17,1455.0,0.0,0.0,20221212
143210,핸즈코퍼레이션,2016-12-02,3320,72586049760,12265,40624855,21863268,11413.0,0.0,0.29,0.0,0.0,0.0,20221212
000720,현대건설,1984-12-22,36800,4097892152000,1070661,39439287300,111355765,64200.0,10.15,0.57,3625.0,1.63,600.0,20221212
064350,현대로템,2013-10-30,28400,3099641121200,2614179,73517167100,109142293,11847.0,46.63,2.4,609.0,0.0,0.0,20221212
004560,현대비앤지스틸,1987-03-24,11050,166620861550,17090,188213150,15078811,32770.0,2.4,0.34,4595.0,0.9,100.0,20221212
005380,현대자동차,1974-06-28,163500,34934748574500,231305,37678191000,213668187,289609.0,8.61,0.56,18979.0,3.06,5000.0,20221212
001500,현대차증권,1990-06-09,9970,316174243140,27648,274920520,31712562,29950.0,2.69,0.33,3702.0,8.02,800.0,20221212
126560,현대퓨처넷,2010-12-23,2615,288180701175,159823,414892360,110202945,6969.0,3.09,0.38,846.0,3.44,90.0,20221212
111110,호전실업,2017-02-02,8220,80144868480,80898,669624080,9749984,13408.0,5.42,0.61,1517.0,3.04,250.0,20221212
013720,CBI,1993-12-29,501,135440683686,47598018,24601518882,270340686,137.0,0.0,3.66,0.0,0.0,0.0,20221212
311690,CJ 바이오사이언스,2019-12-26,27550,161957413600,2177,60249500,5878672,14957.0,0.0,1.84,0.0,0.0,0.0,20221212
050120,ES큐브,2002-04-25,4415,59885439690,23616,105491750,13564086,6347.0,6.59,0.7,670.0,0.0,0.0,20221212
405350,IBKS제17호스팩,2022-02-18,2375,6460000000,0,0,2720000,0.0,0.0,0.0,0.0,0.0,0.0,20221212
067290,JW신약,2003-02-11,3530,162829852610,586544,2082033075,46127437,1206.0,185.79,2.93,19.0,0.0,0.0,20221212
024120,KB오토시스,1994-12-07,4040,46460000000,21719,87548170,11500000,8880.0,0.0,0.45,0.0,2.97,120.0,20221212
111870,KH 전자,2010-11-05,297,47508067134,2107179,631493294,159959822,972.0,0.0,0.31,0.0,0.0,0.0,20221212
060720,KH바텍,2002-05-21,15000,355161630000,196787,2987499050,23677442,9612.0,10.18,1.56,1473.0,2.0,300.0,20221212
060370,KT서브마린,2002-02-15,5530,121107000000,318468,1806058590,21900000,4848.0,0.0,1.14,0.0,0.54,30.0,20221212
036120,SCI평가정보,1999-12-07,3700,131350000000,539391,2006886855,35500000,838.0,22.02,4.42,168.0,1.08,40.0,20221212
032540,TJ미디어,1997-04-16,6460,89998194140,102545,665779090,13931609,5781.0,28.09,1.12,230.0,0.93,60.0,20221212
036620,감성코퍼레이션,2000-01-11,1755,157236727635,513815,910875705,89593577,373.0,438.75,4.71,4.0,0.0,0.0,20221212
217730,강스템바이오텍,2015-12-21,2910,110399361750,82457,239636005,37937925,1791.0,0.0,1.62,0.0,0.0,0.0,20221212
215000,골프존,2015-04-03,117300,736106179500,23178,2709000600,6275415,45891.0,9.64,2.56,12167.0,2.98,3500.0,20221212
