종목코드,종목명,IPO,종가,시가총액,거래량,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,날짜
003720,삼영화학공업,1976-06-30,2540,85680000000,172321,431260310,34000000,1434.0,24.9,1.77,102.0,0.0,0.0,20221006
004380,삼익THK,1989-09-26,12200,255150000000,30486,369405800,21000000,9536.0,21.37,1.28,571.0,2.46,300.0,20221006
010960,삼호개발,2005-05-12,4060,101125000000,63002,254711120,25000000,9871.0,6.54,0.41,621.0,4.68,190.0,20221006
136490,선진,2011-02-16,8690,206406962720,48847,421178330,23779604,17371.0,4.82,0.5,1804.0,1.15,100.0,20221006
002420,세기상사,1968-12-27,7880,41762937720,3422,26615130,5293148,4355.0,0.0,1.81,0.0,0.0,0.0,20221006
004490,세방전지,1987-11-28,40700,567700000000,23973,967424950,14000000,88025.0,6.47,0.46,6291.0,1.47,600.0,20221006
016590,신대양제지,1995-12-21,81500,330442124000,1141,93230800,4029782,139181.0,5.57,0.59,14644.0,1.53,1250.0,20221006
029530,신도리코,1996-12-24,33000,331128952650,14727,481479000,10080029,99889.0,3.35,0.33,9845.0,4.55,1500.0,20221006
031430,신세계인터내셔날,2011-07-14,26200,940695000000,111587,2913558750,35700000,20084.0,11.39,1.3,2300.0,1.15,300.0,20221006
002870,신풍제지,1976-06-30,1350,47019451500,1160076,1593232920,34958700,3226.0,0.0,0.42,0.0,4.44,60.0,20221006
293940,신한알파리츠,2018-08-08,7490,553725922500,57448,428245530,73830123,,,,,,,20221006
055550,신한지주,2001-09-10,34700,17798814345700,807250,28082757450,512934131,88548.0,4.75,0.39,7308.0,5.65,1960.0,20221006
078520,에이블씨엔씨,2011-09-07,5060,136789302540,1339230,6811258830,27033459,4373.0,0.0,1.16,0.0,0.0,0.0,20221006
012280,영화금속,1990-01-25,947,50511201730,104410,98268935,53394505,1156.0,0.0,0.82,0.0,0.0,0.0,20221006
007310,오뚜기,1994-08-12,461000,1694619231500,1866,858915500,3671981,442610.0,12.11,1.04,38054.0,1.74,8000.0,20221006
271560,오리온,2017-07-07,100500,3973381266000,49936,5066735500,39536132,55935.0,15.42,1.8,6519.0,0.75,750.0,20221006
105840,우진,2010-07-26,9300,188806374060,416815,3847047710,20323614,7106.0,0.0,1.31,0.0,1.08,100.0,20221006
008600,윌비스,1989-07-28,743,49821904899,127147,93328539,67236039,1711.0,0.0,0.43,0.0,0.0,0.0,20221006
033270,유나이티드,2007-10-23,26300,428863300800,268823,7184210600,16244822,20259.0,13.63,1.3,1930.0,1.41,370.0,20221006
023800,인지컨트롤스,1997-06-23,8940,136158931440,217673,1905832810,15333213,12678.0,38.21,0.71,234.0,1.68,150.0,20221006
129260,인터지스,2011-12-16,2665,79426823580,56012,149315235,29747874,7246.0,5.13,0.37,519.0,3.75,100.0,20221006
013360,일성건설,1989-12-02,2480,133171329200,240327,588597250,54024880,2021.0,25.31,1.23,98.0,1.21,30.0,20221006
081000,일진다이아,2004-12-22,16350,234349087500,18953,308257450,14202975,28934.0,27.34,0.57,598.0,2.45,400.0,20221006
033240,자화전자,1999-01-06,21400,429273150200,246564,5286438050,20059493,17751.0,16.73,1.21,1279.0,0.0,0.0,20221006
271980,제일약품,2017-07-17,17850,262481965200,5966,106157050,14704872,11534.0,0.0,1.55,0.0,0.36,65.0,20221006
002620,제일파마홀딩스,1988-01-20,9690,154622076400,6240,60029350,15973355,26821.0,0.0,0.36,0.0,0.67,65.0,20221006
001550,조비,1976-12-28,15200,79181644750,14113,214486600,5192239,10258.0,42.58,1.48,357.0,0.0,0.0,20221006
001630,종근당홀딩스,1976-06-30,52700,265021646900,3277,170938400,5009861,109358.0,16.41,0.48,3212.0,2.66,1400.0,20221006
272450,진에어,2017-12-08,15550,814320000000,174580,2720821800,52200000,3352.0,0.0,4.64,0.0,0.0,0.0,20221006
009070,케이씨티시,1978-09-29,4165,124350000000,30610,126684605,30000000,7431.0,6.12,0.56,681.0,1.44,60.0,20221006
417310,코람코더원리츠,2022-03-28,4480,180992000000,59975,259572675,40400000,,,,,,,20221006
003070,코오롱글로벌,1978-09-15,14650,371853960500,13951,205146850,25210438,23514.0,2.69,0.62,5454.0,3.41,500.0,20221006
036420,콘텐트리중앙,2019-10-18,26500,508066453500,79189,2088742100,19172319,9670.0,0.0,2.74,0.0,0.0,0.0,20221006
031820,콤텍시스템,1997-02-12,646,78804504366,151517,98038145,121051466,1158.0,23.07,0.56,28.0,0.0,0.0,20221006
020120,키다리스튜디오,1996-07-03,6890,253643135130,117085,804105170,36600741,6419.0,60.44,1.07,114.0,0.0,0.0,20221006
004100,태양금속공업,1976-05-25,1155,42388500000,99080,112131660,36700000,2312.0,0.0,0.5,0.0,0.43,5.0,20221006
214420,토니모리,2015-07-10,3815,92009606175,80168,305996110,24054799,3829.0,0.0,1.0,0.0,0.0,0.0,20221006
008930,한미사이언스,1988-06-20,31650,2175370782800,35477,1127924750,68623684,10268.0,49.61,3.08,638.0,0.63,200.0,20221006
009240,한샘,2002-07-16,42450,1006075422000,42240,1798976000,23533928,36438.0,13.0,1.16,3266.0,3.65,1550.0,20221006
009180,한솔로지스틱스,1989-11-13,2680,73914273250,72710,193803080,27477425,2859.0,3.13,0.94,855.0,2.24,60.0,20221006
002220,한일철강,1988-10-07,3345,89569978300,18218,60944855,26697460,7201.0,3.17,0.46,1055.0,1.49,50.0,20221006
009460,한창제지,1987-12-23,1490,89501229000,196189,294033720,59667486,1819.0,5.91,0.82,252.0,1.34,20.0,20221006
088350,한화생명,2010-03-17,2090,1819570350000,625604,1310515075,868530000,15004.0,1.44,0.14,1455.0,0.0,0.0,20221006
143210,핸즈코퍼레이션,2016-12-02,3440,76412121660,18120,63513690,21863268,11413.0,0.0,0.3,0.0,0.0,0.0,20221006
000720,현대건설,1984-12-22,38650,4315035893750,310166,12084309900,111355765,64200.0,10.66,0.6,3625.0,1.55,600.0,20221006
004560,현대비앤지스틸,1987-03-24,11900,178683910350,51848,610918600,15078811,32770.0,2.59,0.36,4595.0,0.84,100.0,20221006
005380,현대자동차,1974-06-28,178000,38246605473000,600142,106725680000,213668187,289609.0,9.38,0.61,18979.0,2.81,5000.0,20221006
001500,현대차증권,1990-06-09,9730,306977600160,20396,197017700,31712562,29950.0,2.63,0.32,3702.0,8.22,800.0,20221006
126560,현대퓨처넷,2010-12-23,2535,278813450850,116962,293628765,110202945,6969.0,3.0,0.36,846.0,3.55,90.0,20221006
111110,호전실업,2017-02-02,7430,72442381120,11000,81285480,9749984,13408.0,4.9,0.55,1517.0,3.36,250.0,20221006
010660,화천기계,1988-12-12,5570,122760000000,1596222,8955228660,22000000,6354.0,20.48,0.88,272.0,0.18,10.0,20221006
