종목코드,R1D,R1W,R1M,R3M,R6M,R1Y,R2Y,DT
044180,1.16,8.43,-5.65,3.29,-21.26,-34.85,-35.66,20230113
151860,2.24,1.79,8.06,35.55,-24.25,-20.0,77.57,20230113
046440,0.18,1.6,-7.77,7.14,-14.93,-43.28,-43.28,20230113
016380,1.26,6.65,-4.41,-0.5,-36.35,-32.03,-31.74,20230113
035600,0.0,4.62,-4.96,6.41,-6.74,-29.86,-36.64,20230113
001390,0.0,3.22,-3.23,4.66,-8.18,-26.39,-5.47,20230113
060720,-2.67,1.04,-5.5,19.67,-19.56,-39.67,-24.55,20230113
058400,-0.54,2.47,-0.54,3.75,-7.77,-30.49,-60.09,20230113
114450,-3.45,-7.65,-9.69,36.33,-12.52,-37.6,-52.38,20230113
025000,0.62,1.56,-3.46,1.88,1.45,-10.04,-9.03,20230113
092230,0.0,1.68,-4.89,3.42,-7.78,-13.63,-5.87,20230113
030200,1.03,1.18,-7.16,-1.29,-7.04,9.74,42.53,20230113
033780,0.88,2.12,-7.3,4.7,12.84,15.7,11.46,20230113
058850,-0.23,1.15,-6.41,0.23,-3.1,-12.75,-6.81,20230113
058860,0.41,1.88,-3.93,0.62,-3.74,-2.59,-9.94,20230113
122450,0.0,-0.33,2.75,1.87,-22.34,-24.97,-63.2,20230113
093050,0.0,1.47,5.2,11.33,10.97,1.78,12.79,20230113
003550,2.63,6.64,1.11,6.5,7.76,-0.85,-20.87,20230113
034220,1.55,-1.13,-8.07,-2.6,-11.49,-45.76,-35.94,20230113
051900,1.09,2.48,5.53,29.39,3.33,-23.69,-53.44,20230113
051905,-0.66,-0.49,-2.26,0.0,-8.19,-45.69,-56.97,20230113
003555,0.33,1.34,-2.89,0.0,-0.82,-7.63,-13.45,20230113
032640,1.4,-2.25,-9.96,3.83,-10.7,-20.22,-12.5,20230113
011070,-1.08,0.92,-5.83,-4.36,-19.15,-22.13,45.24,20230113
066570,0.53,3.86,4.78,16.73,4.43,-35.26,-32.71,20230113
066575,0.68,2.9,2.54,12.26,0.91,-34.9,-25.88,20230113
037560,-0.22,3.24,-9.14,9.08,-14.98,-11.23,19.05,20230113
051910,1.1,8.42,-0.31,12.39,21.51,-14.7,-35.6,20230113
051915,0.85,5.69,0.0,11.24,19.04,-11.87,-36.81,20230113
079550,1.73,6.45,-8.23,-8.03,17.52,14.58,154.24,20230113
006260,-0.42,8.31,0.28,16.17,33.33,23.08,-2.9,20230113
010120,-1.12,6.67,-6.55,9.54,4.35,-7.37,-23.14,20230113
000680,0.0,3.38,-4.11,-2.78,-9.93,-17.79,-9.59,20230113
229640,1.92,5.54,-6.19,2.48,9.59,-7.13,-5.59,20230113
108320,-0.78,4.22,-7.83,-7.94,-15.38,-48.1,18.42,20230113
001120,2.7,4.59,-15.76,-20.0,18.54,28.57,29.79,20230113
108670,-0.45,4.55,-0.15,5.71,-16.94,-49.24,-57.02,20230113
108675,1.17,1.17,1.76,11.61,-10.59,-42.14,-47.58,20230113
383800,0.0,1.91,-6.76,3.76,-0.93,-16.18,,20230113
38380K,0.44,3.18,-1.73,10.73,-4.62,-25.33,,20230113
023150,0.13,2.25,-5.85,-4.22,-7.88,-20.74,-0.13,20230113
035420,0.52,5.41,0.78,17.82,-16.49,-43.97,-37.9,20230113
160550,-0.62,-7.03,8.91,51.12,5.91,-42.36,-3.58,20230113
053290,-0.73,36.0,29.83,39.49,-2.86,-60.15,90.21,20230113
104200,0.0,7.22,-6.31,7.03,-29.41,-59.48,22.59,20230113
400760,1.37,3.64,12.46,8.19,-17.32,-28.16,,20230113
005945,0.56,1.02,-5.6,-1.54,-1.0,-21.23,2.88,20230113
338100,0.57,3.38,10.17,9.9,-1.22,-6.03,5.71,20230113
034310,-1.14,0.39,-4.41,6.12,-10.96,-24.64,-30.29,20230113
030190,1.24,-1.61,-8.27,-3.17,-15.86,-32.78,-48.31,20230113
008260,-0.11,1.72,6.07,27.74,-3.38,24.21,51.04,20230113
004250,-0.64,6.3,-8.1,-9.57,-28.6,-31.65,87.39,20230113
004255,-0.59,5.02,-5.5,-0.59,-26.78,-31.98,48.89,20230113
010060,-0.81,8.85,-9.84,-8.5,-26.72,-16.0,-20.28,20230113
178920,0.65,10.27,-2.96,-5.03,-4.89,-40.21,-22.61,20230113
024940,7.4,0.49,-8.14,64.08,81.27,61.95,106.61,20230113
091340,0.26,7.02,-1.3,18.88,-9.93,-34.87,-26.87,20230113
010950,4.28,8.94,-3.07,0.0,-5.85,-10.49,8.94,20230113
010955,2.3,4.71,-10.85,-7.13,-7.77,-4.98,23.9,20230113
019550,0.86,8.29,0.86,15.76,-15.77,-27.47,-9.96,20230113
950110,-1.03,-0.26,0.13,-7.45,-11.49,-45.47,-51.45,20230113
034120,-1.08,-0.46,-10.56,6.1,-24.32,-30.68,23.14,20230113
046140,0.16,3.93,5.37,16.92,-6.32,-19.36,-6.03,20230113
036120,-1.65,2.24,6.29,-12.79,24.72,18.26,-8.16,20230113
036540,-1.29,2.05,-7.65,-4.52,-18.75,-40.91,-25.22,20230113
040610,-0.29,6.4,-0.85,14.43,-10.97,-30.62,-41.34,20230113
005090,0.0,2.46,-7.56,1.63,-8.37,-32.69,-21.31,20230113
001380,3.21,7.27,2.61,72.68,25.09,-11.06,-34.81,20230113
004060,2.75,3.1,9.93,6.98,13.04,-24.97,-9.8,20230113
001770,-0.54,9.7,-1.61,-17.69,28.72,28.5,70.93,20230113
002360,-0.12,3.64,-7.87,-4.37,-15.02,-14.6,-15.02,20230113
009160,-2.28,6.97,-6.2,11.02,-15.88,-17.63,86.91,20230113
123700,-0.56,6.08,-5.52,31.08,25.71,-8.25,18.98,20230113
025530,-0.83,3.17,-10.95,-7.13,18.54,-4.02,16.05,20230113
034730,1.31,3.49,-6.08,-6.31,-6.54,-21.86,-34.91,20230113
011790,0.86,2.96,-9.81,-5.44,-26.72,-42.1,-5.54,20230113
018670,-0.86,0.43,-4.15,2.67,6.94,-9.06,5.96,20230113
001740,1.15,4.64,-3.66,1.02,-5.17,-20.06,-21.02,20230113
001745,29.91,49.5,29.77,-1.65,6.63,-12.5,-42.79,20230113
006120,0.33,3.9,-5.7,1.49,-12.57,-33.98,-50.8,20230113
006125,-0.36,2.75,-4.44,1.82,-6.82,-20.45,-46.87,20230113
210980,-0.48,3.24,-4.61,-4.61,-9.21,-31.46,-54.8,20230113
068400,1.18,3.48,-2.56,6.05,-15.66,-32.28,-34.55,20230113
326030,-0.54,3.95,-5.03,35.23,-5.27,-20.5,-51.83,20230113
402340,-0.28,5.29,-0.14,-6.64,-9.92,-38.19,,20230113
361610,0.62,13.22,3.99,32.72,-22.04,-58.14,,20230113
03473K,0.59,2.09,-3.12,-0.58,-4.74,-21.38,-36.19,20230113
096770,1.91,6.31,-5.88,1.91,-7.25,-39.96,-43.06,20230113
096775,0.72,5.06,-3.37,1.35,-11.27,-37.64,-47.81,20230113
001510,1.09,3.5,-4.69,-0.46,-9.72,-32.15,-30.85,20230113
001515,0.19,3.9,-3.44,-5.83,-10.12,-31.14,-49.72,20230113
28513K,-0.13,4.93,-5.29,0.9,-26.22,-53.26,-76.48,20230113
017670,0.0,-3.57,-7.83,-7.65,-16.39,-18.47,-82.0,20230113
000660,-1.27,3.13,4.77,-10.26,-8.83,-33.82,-35.56,20230113
064960,0.47,3.23,-5.05,4.35,0.0,-8.47,-19.85,20230113
100840,1.56,4.83,-5.56,2.36,26.95,2.89,25.72,20230113
003570,0.0,9.15,4.43,7.21,44.61,6.74,57.07,20230113
036530,0.31,4.89,-3.01,15.83,4.89,-5.85,8.05,20230113
005610,0.42,0.85,-0.84,-10.03,-11.49,1.43,-5.84,20230113
011810,-1.9,-2.07,-1.39,27.29,81.79,32.02,-2.4,20230113
077970,0.0,3.73,4.51,13.01,12.1,20.87,81.7,20230113
002820,0.0,6.73,0.44,-5.01,-22.41,-32.48,-24.31,20230113
289080,0.24,5.09,-13.6,4.29,-29.4,-35.47,-61.83,20230113
084870,-2.52,-3.33,-4.92,7.08,-9.38,-21.8,2.65,20230113
161570,-1.71,13.86,4.55,23.66,-4.96,-25.57,-46.51,20230113
032540,1.83,7.74,6.03,23.93,9.69,33.07,101.51,20230113
022220,0.34,2.81,-2.33,8.52,-15.56,-29.06,-24.87,20230113
069260,0.0,3.89,-8.45,-1.23,8.67,-15.22,-18.5,20230113
024070,0.0,6.72,-2.35,2.47,-15.62,-23.73,2.47,20230113
057030,-0.67,1.65,-4.39,8.98,-14.84,-43.25,-52.38,20230113
037270,-1.01,-0.2,10.41,17.87,-16.72,-29.48,-22.17,20230113
040300,1.45,8.08,10.74,20.04,75.7,85.82,66.4,20230113
051390,-1.55,0.87,-0.57,9.39,-4.12,-19.38,-9.57,20230113
052220,3.15,4.57,-3.65,-22.98,10.63,-28.88,-48.42,20230113
079940,2.29,5.19,2.29,17.0,-1.33,-13.9,-17.71,20230113
000860,0.0,0.98,-2.14,-0.96,-3.51,-22.56,0.49,20230113
217730,-3.14,-1.75,3.01,14.07,3.53,-7.78,-63.33,20230113
035250,1.08,0.0,-4.51,-1.69,-3.12,-8.45,-6.43,20230113
114190,-1.15,5.25,-3.36,22.27,54.2,244.8,244.8,20230113
094480,0.44,3.66,-9.76,-5.33,-40.47,-57.86,12.69,20230113
011420,-0.56,2.31,-9.67,-1.39,-6.33,-32.77,20.75,20230113
002100,0.47,3.41,0.0,21.28,-1.85,-13.11,-13.47,20230113
009450,0.59,2.88,-5.17,1.04,-10.67,-38.25,-35.18,20230113
267290,0.82,3.13,-13.18,23.19,15.69,11.76,29.66,20230113
012320,-0.99,2.25,-14.89,244.83,186.94,187.36,228.95,20230113
011040,0.0,2.64,-6.14,10.97,-12.67,-28.53,-24.0,20230113
000050,-0.94,-0.94,-4.95,-2.31,-16.6,-27.24,-19.16,20230113
214390,-0.12,-8.18,7.09,62.94,15.26,-17.31,-48.06,20230113
009140,-0.21,-0.61,-2.21,-2.8,-1.42,-23.82,-14.74,20230113
024910,1.69,6.6,-2.78,7.42,-12.5,-42.15,-27.46,20230113
013580,0.27,1.61,-1.82,7.39,-18.18,-47.35,-41.12,20230113
012200,1.22,3.76,16.96,27.06,-7.67,-21.19,-32.52,20230113
012205,1.42,7.55,11.98,14.46,-15.81,-15.56,-24.0,20230113
002140,0.0,4.19,-9.02,-29.09,-40.61,16.74,-13.66,20230113
198440,0.39,4.49,-7.25,-1.35,-20.0,-37.18,-19.12,20230113
049720,-2.78,-1.87,-3.23,-16.67,-8.7,25.3,79.79,20230113
002240,-0.23,4.56,-2.9,25.29,10.38,1.4,45.33,20230113
014570,0.0,-1.21,-2.74,17.1,3.43,-6.32,-24.19,20230113
098460,-1.78,1.85,-4.5,2.6,7.39,-34.6,-88.74,20230113
215000,2.13,11.99,3.55,12.94,-12.89,-35.7,72.09,20230113
121440,0.85,6.13,-4.42,-10.02,-29.9,-44.84,-12.5,20230113
183410,0.0,0.2,-5.85,-20.29,-37.86,3.1,61.49,20230113
076340,0.0,4.0,-2.05,-19.44,-13.86,-29.82,-10.62,20230113
009290,0.5,2.72,-3.97,8.83,-5.92,-17.26,-39.11,20230113
017040,-0.42,9.84,1.52,17.25,-21.04,-12.5,9.32,20230113
017900,0.23,2.53,-1.11,8.27,-2.84,-34.94,-11.0,20230113
026910,0.42,1.69,-5.3,-2.03,-6.95,-25.96,-2.03,20230113
355150,1.34,1.12,-5.63,-5.63,2.49,6.59,9.16,20230113
397880,0.0,0.99,1.99,-1.44,-4.65,-5.31,,20230113
030610,1.1,1.47,-5.81,-1.61,-9.52,-33.77,-33.53,20230113
339770,0.75,4.31,-6.53,-2.48,-18.62,-39.87,-48.97,20230113
053270,-0.4,0.6,-1.18,5.01,-21.28,-28.65,34.85,20230113
007690,0.57,4.66,-7.4,-2.77,-6.31,-30.14,-16.41,20230113
066620,0.0,3.12,-9.09,2.48,4.1,-22.17,-4.62,20230113
043650,0.0,3.0,-1.29,2.23,-18.7,-31.16,16.64,20230113
006050,0.62,2.87,-6.65,36.29,4.53,-12.23,-45.44,20230113
060480,3.21,4.4,-4.21,3.8,-8.08,-30.09,-29.09,20230113
078130,-1.1,0.67,-6.26,10.32,-10.91,-45.64,-53.66,20230113
307750,-0.45,0.45,-9.4,-13.97,-26.03,-37.26,-5.94,20230113
243870,0.0,-5.48,-1.43,-8.0,-8.0,-16.87,-5.15,20230113
204020,3.48,7.03,1.46,8.9,-1.89,23.08,7.59,20230113
083420,0.0,4.81,-10.48,-17.34,46.85,13.64,-30.27,20230113
186230,1.41,3.35,-4.42,-5.26,-7.69,-29.64,-20.59,20230113
014530,0.0,3.69,-7.24,3.69,2.82,-8.18,6.88,20230113
900070,-0.97,-1.93,-11.11,-2.33,-7.29,-37.54,20.88,20230113
014280,1.27,5.45,-4.2,24.61,-5.9,-21.72,16.0,20230113
014285,0.41,2.53,-0.41,1.67,-2.41,-6.54,3.4,20230113
053260,1.52,5.21,-8.76,-6.71,-2.63,31.56,97.05,20230113
008870,-2.97,-9.13,36.31,98.1,65.46,83.2,69.38,20230113
002995,0.2,-4.65,8.23,25.12,2.19,-15.07,-22.97,20230113
011785,-0.85,1.49,-12.9,-5.66,0.74,-18.3,41.59,20230113
073240,1.18,10.05,-2.27,-4.29,-10.81,-32.66,-20.16,20230113
036190,1.75,2.84,-0.17,5.07,-1.53,-7.79,1.05,20230113
035460,0.0,5.71,-7.09,34.98,-1.41,19.35,20.73,20230113
092440,-0.84,2.6,1.72,6.6,1.86,-17.71,-9.2,20230113
000270,2.19,6.18,1.87,-5.36,-17.13,-23.09,-9.56,20230113
013700,0.27,-4.2,-9.88,6.41,-21.67,-53.02,-45.28,20230113
004540,-1.54,1.77,-7.85,-0.52,-15.44,-33.37,-32.43,20230113
004545,-1.36,0.83,0.55,5.81,-3.45,-15.94,-5.45,20230113
121600,-0.72,2.97,0.97,1.59,17.87,39.43,115.01,20230113
091970,0.0,0.0,0.0,0.0,0.0,0.0,-19.9,20230113
244880,-0.33,3.28,3.1,11.99,0.5,-2.76,4.18,20230113
051490,-0.31,5.57,-5.29,3.21,-0.77,-54.81,-49.29,20230113
242040,2.32,5.16,25.89,65.62,51.43,-3.99,-13.82,20230113
293580,1.54,-0.75,14.35,84.69,57.49,35.15,18.47,20230113
130580,-0.89,1.96,2.36,7.57,4.55,-18.12,-21.01,20230113
036800,0.0,1.56,-5.78,-2.06,5.88,-10.0,-13.72,20230113
267320,1.11,9.08,-0.31,2.58,-8.08,-43.12,-34.6,20230113
