종목코드,종목명,IPO,종가,시가총액,거래량,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,날짜
002760,보락,1989-11-30,1400,84459000000,428834,611821335,59900000,760.0,50.0,1.84,28.0,0.36,5.0,20220929
005180,빙그레,1978-08-31,39500,389616581550,8591,341251900,9851241,63095.0,0.0,0.63,0.0,3.54,1400.0,20220929
003960,사조대림,1976-09-16,23750,220863654700,18979,459047600,9164467,57550.0,2.78,0.41,8528.0,1.26,300.0,20220929
001470,삼부토건,1976-06-26,1465,277756595000,1381178,2084460655,187673375,1670.0,24.83,0.88,59.0,0.0,0.0,20220929
021050,서원,1996-01-30,1190,56732135050,202933,241531575,47474590,2799.0,3.83,0.43,311.0,1.26,15.0,20220929
007610,선도전기,1989-11-30,3000,54000000000,0,0,18000000,4420.0,0.0,0.68,0.0,0.0,0.0,20220929
004360,세방,1977-05-19,14750,284803177500,53105,782327700,19308690,40513.0,6.3,0.36,2342.0,1.36,200.0,20220929
058650,세아홀딩스,2001-07-30,96500,385200000000,431,41476500,4000000,498163.0,7.73,0.19,12479.0,2.85,2750.0,20220929
013000,세우글로벌,1989-09-05,1285,37173015145,61097,79568125,28705031,1569.0,17.6,0.82,73.0,0.0,0.0,20220929
021820,세원정공,1996-07-03,8090,80900000000,0,0,10000000,44548.0,3.26,0.18,2478.0,0.31,25.0,20220929
067830,세이브존I&C,2002-07-25,2610,106911531475,26335,68736535,41040895,12126.0,13.25,0.22,197.0,1.15,30.0,20220929
336370,솔루스첨단소재,2019-10-18,30400,1070891447500,154440,4852456850,35111195,7359.0,105.19,4.13,289.0,0.33,100.0,20220929
017550,수산중공업,1991-08-30,2330,126865133050,506122,1212708310,53985163,2261.0,11.04,1.03,211.0,0.43,10.0,20220929
006880,신송홀딩스,2013-11-21,8960,105395124780,762558,6749315460,11828858,8722.0,13.41,1.03,668.0,1.34,120.0,20220929
002700,신일전자,1975-09-30,1685,121491260910,603108,1037780850,71047521,1175.0,14.78,1.43,114.0,1.48,25.0,20220929
090430,아모레퍼시픽,2006-06-29,105500,6141739695000,231816,24779023500,58492759,69049.0,37.41,1.53,2820.0,0.93,980.0,20220929
122900,아이마켓코리아,2010-07-30,10450,351002820000,78499,827425250,33428840,11569.0,8.62,0.9,1213.0,5.74,600.0,20220929
003560,아이에이치큐,1973-12-18,452,85492978920,3892750,1872081652,185854302,800.0,0.0,0.57,0.0,0.0,0.0,20220929
010580,에스엠벡셀,1994-12-27,2145,242528836800,316523,694289195,111251760,494.0,0.0,4.34,0.0,0.0,0.0,20220929
036570,엔씨소프트,2003-05-22,334500,7332643348000,98227,33031561000,21954022,155059.0,17.32,2.16,19318.0,1.75,5860.0,20220929
014440,영보화학,1997-08-27,3540,70300000000,20734,72879935,20000000,7960.0,19.67,0.44,180.0,2.82,100.0,20220929
047400,유니온머티리얼,2009-09-29,2390,101220000000,585002,1429939005,42000000,1997.0,183.85,1.2,13.0,1.46,35.0,20220929
