종목코드,R1D,R1W,R1M,R3M,R6M,R1Y
095610,-2.24,-5.13,-6.05,-16.06,-12.23,-23.04
071840,-1.89,0.43,3.33,-6.99,-25.91,-36.43
002350,-1.32,-5.25,-9.28,-8.73,-29.05,-28.11
103140,-6.48,4.4,7.1,11.04,-6.08,-6.35
130660,2.0,2.41,13.84,0.0,8.05,173.31
003550,-0.27,-2.93,-4.33,-10.43,-22.42,-17.17
220630,0.9,2.89,9.92,43.22,53.64,116.32
033290,-2.91,-6.62,-13.76,-1.74,-8.83,28.6
005300,-1.65,-9.42,-3.87,14.18,2.76,30.7
004000,-3.43,-7.57,-2.53,-4.43,4.86,39.62
000880,-1.98,-1.98,0.17,-5.41,-15.12,0.68
344820,-1.73,-1.9,-6.74,3.28,-23.27,22.46
045390,-1.71,-2.75,-6.9,-16.55,-28.95,-11.56
091120,-3.05,-9.79,2.64,52.17,32.33,118.07
060720,-2.65,-7.34,-11.4,-13.3,-27.6,5.21
192650,-1.91,-8.89,-5.09,6.0,-9.29,10.69
009410,-0.8,0.41,-5.17,-0.8,-18.44,-17.42
047820,1.95,3.16,6.09,-18.28,2.55,11.28
183190,-3.53,1.69,6.36,29.18,10.26,72.0
086450,-0.49,-3.79,-0.25,0.5,-16.63,-32.11
011170,-0.26,-12.73,-4.0,-13.9,-21.95,-40.65
018000,-4.33,0.76,6.0,-4.16,-25.04,-33.67
000020,-0.39,1.58,3.21,-13.18,-14.33,-10.14
230240,-1.58,-6.67,-9.82,-18.49,32.08,39.3
330590,0.36,2.75,6.65,0.36,-2.77,12.99
016360,-0.12,-3.07,-2.03,-10.87,-17.42,10.66
018310,-4.26,31.58,52.54,75.78,38.89,123.88
069960,-2.97,-3.34,0.67,5.62,-6.47,-8.52
138040,-3.35,-13.98,-30.02,-9.3,17.41,157.72
086790,-2.21,-9.03,-3.7,7.13,1.49,16.89
094820,6.08,0.75,29.77,17.94,116.52,279.02
112610,-5.22,3.52,24.14,6.38,-22.88,-15.01
078020,-1.37,-2.44,-6.61,-14.17,-18.62,5.41
145990,-1.74,-1.36,-20.09,-17.77,-21.21,-7.79
240810,-1.52,-0.56,-7.28,-16.22,-21.3,-29.41
299900,-7.31,-0.84,11.81,-21.98,125.4,322.62
