종목코드,R1D,R1W,R1M,R3M,R6M,R1Y,날짜
037560,-0.62,1.26,20.04,38.74,-7.24,20.49,20220502
051910,1.35,8.23,0.57,-17.68,-37.08,-43.56,20220502
051915,1.8,3.04,-6.61,-15.87,-33.64,-42.87,20220502
079550,4.14,10.47,19.08,47.41,83.48,115.91,20220502
006260,-0.35,0.0,9.94,15.12,-8.15,-21.56,20220502
010120,4.39,4.94,12.75,2.36,-15.2,-12.21,20220502
000680,-1.17,2.97,9.64,12.22,18.14,33.92,20220502
229640,0.13,-1.23,-0.25,6.52,-4.42,-0.25,20220502
108320,-1.58,-8.97,-8.72,-2.53,19.43,36.92,20220502
001120,0.0,0.39,10.49,58.23,41.62,24.84,20220502
108670,-1.35,0.17,-8.04,5.81,-16.24,-35.93,20220502
108675,0.0,-1.01,-7.42,14.9,-11.21,-31.62,20220502
023150,0.0,0.86,17.5,31.43,1.29,14.08,20220502
160550,1.98,3.0,-5.5,-22.56,-39.94,-15.23,20220502
053290,1.39,-1.35,-13.37,-41.9,-59.89,-60.54,20220502
104200,1.64,-5.34,-34.22,2.9,33.91,99.36,20220502
005945,1.42,-1.83,-6.14,0.94,-14.74,-3.17,20220502
338100,0.2,-1.54,2.31,11.11,3.24,13.84,20220502
034310,-0.59,-2.02,0.3,0.3,0.3,-12.18,20220502
030190,-1.9,-0.28,-7.67,-3.99,-8.84,-17.58,20220502
008260,-1.34,1.2,14.37,66.38,45.61,1.55,20220502
004250,1.73,4.44,32.77,41.74,84.75,165.84,20220502
004255,1.0,-2.62,68.9,71.36,121.66,161.97,20220502
010060,3.79,9.5,4.29,23.59,-15.44,-12.4,20220502
178920,0.31,0.1,4.57,18.18,6.42,0.0,20220502
024940,-5.45,-11.98,-11.71,47.49,-9.91,-37.99,20220502
005490,1.38,2.45,1.74,10.57,-1.01,-19.51,20220502
091340,0.78,0.19,-3.36,1.37,-6.17,-4.26,20220502
010950,2.42,1.92,7.83,17.78,3.41,21.7,20220502
010955,0.98,1.98,9.17,17.68,-1.28,22.09,20220502
019550,-3.26,-2.4,6.19,16.85,-7.12,-23.11,20220502
034120,0.6,2.64,15.3,23.17,-6.65,82.97,20220502
046140,0.79,2.82,-2.17,12.48,-9.35,-5.9,20220502
036120,-1.36,-2.3,11.23,14.76,7.91,-15.73,20220502
036540,-0.91,0.46,-4.79,0.92,3.63,-17.28,20220502
040610,0.0,1.24,5.33,29.35,19.13,6.11,20220502
005090,-1.38,-9.57,-1.18,-0.99,3.51,7.51,20220502
001380,-1.28,-1.03,-3.51,7.54,-11.49,-50.39,20220502
004060,0.81,2.05,-0.13,14.75,8.1,0.67,20220502
001770,2.34,3.48,-0.91,10.64,9.17,3.31,20220502
002360,1.97,52.71,48.33,71.65,41.55,38.39,20220502
009160,0.0,-3.36,8.13,47.27,12.78,89.98,20220502
123700,0.23,-0.57,-8.08,5.54,-9.6,2.82,20220502
025530,0.39,-1.42,-6.6,15.76,2.14,1.46,20220502
337450,0.0,0.0,4.81,6.08,1.4,2.83,20220502
340350,-0.22,1.59,6.19,7.99,5.69,5.69,20220502
011790,0.99,2.68,-0.97,9.29,-14.04,13.33,20220502
018670,6.72,10.92,11.89,9.01,-7.64,26.37,20220502
001740,-0.21,-0.21,3.53,7.32,-4.91,-8.68,20220502
001745,-0.38,1.56,11.29,18.75,-12.77,-40.31,20220502
006120,1.93,1.69,3.43,6.84,-11.53,-27.12,20220502
006125,0.14,0.86,8.68,17.82,-10.13,-16.35,20220502
068400,0.0,2.26,0.44,22.83,-6.61,-1.74,20220502
326030,1.42,7.38,4.84,22.82,-1.59,-14.59,20220502
03473K,0.22,2.97,3.68,18.37,0.45,-11.22,20220502
096770,-0.73,-4.24,-5.35,-5.79,-16.08,-24.77,20220502
096775,-1.15,-4.1,-1.91,-4.1,-14.9,-32.01,20220502
001510,0.12,0.12,-3.67,-0.23,-11.72,-15.51,20220502
001515,-1.03,1.05,2.12,7.37,-8.96,-31.68,20220502
000660,-1.78,2.31,-4.74,-8.3,7.28,-13.67,20220502
950180,0.0,0.0,0.68,0.41,95.26,76.67,20220502
064960,3.02,0.41,4.99,13.56,-1.79,-19.28,20220502
100840,19.95,20.27,16.45,30.65,-0.45,18.65,20220502
003570,2.61,6.1,9.04,12.84,-2.48,11.04,20220502
036530,2.01,-1.93,5.97,11.64,0.0,-3.01,20220502
005610,1.33,-2.88,2.82,30.29,19.22,29.73,20220502
077970,-2.27,4.51,18.97,58.76,25.42,-2.9,20220502
071970,-1.93,-2.12,4.2,17.15,-11.48,-39.55,20220502
002820,-0.35,2.16,3.65,19.33,-0.18,-17.92,20220502
289080,-1.04,-2.91,-7.87,-13.15,-8.13,-24.97,20220502
084870,2.06,5.69,1.36,27.07,-20.07,19.89,20220502
002710,0.82,-1.98,12.79,30.0,47.73,124.14,20220502
161570,-1.64,-3.86,-1.64,-1.32,-0.33,-16.01,20220502
032540,-4.84,-5.85,-24.68,58.57,18.39,84.62,20220502
022220,1.86,8.15,4.29,20.33,2.58,1.15,20220502
069260,-0.67,-2.2,-0.22,5.95,-15.56,2.3,20220502
024070,0.28,4.91,3.98,21.55,-9.62,-21.32,20220502
057030,-0.85,0.35,-4.91,-8.21,-4.91,-24.64,20220502
037270,0.57,3.99,-13.21,13.94,-7.86,19.76,20220502
040300,0.0,-1.39,-0.42,5.34,2.31,-8.97,20220502
051390,-1.05,-0.82,-2.86,3.41,6.65,-6.39,20220502
052220,-0.23,-2.89,-0.68,0.0,-5.0,10.63,20220502
079940,-0.36,1.83,3.35,20.87,9.02,-6.71,20220502
000500,-0.57,0.0,-1.32,18.86,-7.76,-12.1,20220502
000860,0.39,2.78,0.78,4.23,3.4,-12.67,20220502
035250,-0.37,1.14,-4.64,7.66,-3.96,5.53,20220502
094480,0.23,-2.94,-14.83,-2.73,8.67,23.1,20220502
011420,-1.25,-5.59,-9.73,7.5,-2.07,23.18,20220502
267290,-1.9,7.48,12.15,23.68,9.77,10.23,20220502
012320,0.53,2.15,4.25,11.11,2.15,-12.74,20220502
011040,-0.49,0.49,-5.96,1.49,-28.57,-0.97,20220502
000050,0.0,-5.07,0.63,13.57,19.55,20.91,20220502
214390,-0.7,-1.62,-7.29,0.59,-13.94,-40.21,20220502
009140,-0.51,-1.34,-7.7,-3.29,1.73,-5.02,20220502
024910,-2.13,1.1,-7.69,-13.62,-27.94,-15.34,20220502
013580,-0.13,2.48,-8.27,20.03,4.06,8.31,20220502
012200,0.0,0.0,0.0,-1.38,-22.74,-19.17,20220502
012205,0.0,0.0,0.0,0.59,-5.58,-13.54,20220502
002140,2.35,5.12,104.14,146.33,120.27,60.48,20220502
198440,-2.59,3.6,1.98,40.32,20.3,31.45,20220502
049720,0.11,-0.21,10.04,22.15,-2.78,35.88,20220502
010130,0.17,-7.09,-2.2,13.36,7.45,29.37,20220502
002240,1.43,25.61,29.32,45.15,3.64,4.6,20220502
014570,-0.11,-0.33,-0.55,12.8,-2.18,-17.9,20220502
098460,-3.1,-0.79,1.35,-8.54,1.63,-32.55,20220502
035290,-0.54,183.14,183.14,183.14,183.14,183.14,20220502
215000,6.27,6.99,8.4,8.26,22.26,84.04,20220502
121440,3.66,1.8,8.63,9.95,4.62,22.43,20220502
183410,-2.14,-0.67,52.56,122.85,138.0,257.36,20220502
076340,-1.61,2.65,2.23,0.0,-32.88,20.89,20220502
009290,-0.14,-0.68,-2.28,10.3,-6.43,-18.57,20220502
017040,0.53,3.66,1.98,24.07,-7.95,3.85,20220502
017900,0.0,-3.08,-6.63,-6.96,-17.57,14.07,20220502
026910,-0.54,4.94,1.1,14.76,4.35,-4.0,20220502
355150,0.22,2.5,5.87,6.62,6.12,5.62,20220502
331520,0.0,0.0,6.98,8.49,6.98,2.68,20220502
030610,-1.02,0.0,1.04,-1.78,-11.95,-7.97,20220502
339770,1.3,-6.02,1.3,16.42,-12.36,-23.72,20220502
053270,4.5,6.05,33.73,42.42,6.62,1.81,20220502
066620,0.0,-0.72,-4.41,12.26,-16.94,-10.04,20220502
043650,-0.91,-1.36,5.34,-3.12,25.0,30.41,20220502
006050,1.75,9.12,5.44,32.14,2.26,-27.71,20220502
060480,1.36,2.75,-4.96,10.01,-9.89,-24.24,20220502
204020,2.48,1.54,9.8,40.04,15.16,8.36,20220502
083420,0.21,-2.5,-4.04,5.3,-14.56,-21.77,20220502
014530,-1.93,6.51,13.65,27.75,6.02,-14.23,20220502
900070,1.0,-1.1,-12.46,-14.68,-25.19,-30.34,20220502
014285,-2.21,-1.59,-5.78,21.09,20.62,14.81,20220502
053260,0.9,-9.64,42.59,132.2,97.02,50.0,20220502
008870,-0.29,0.74,0.74,12.66,-2.84,-7.06,20220502
002990,1.45,2.94,-4.98,4.48,-12.86,4.48,20220502
002995,0.63,-0.16,1.11,6.67,0.0,-8.83,20220502
011785,0.0,0.11,2.58,18.24,-14.53,-12.57,20220502
073240,-1.62,2.91,1.68,3.29,-20.75,4.95,20220502
036190,0.0,-1.53,-0.16,9.52,-1.68,-1.38,20220502
035460,9.57,28.83,21.0,60.42,58.48,59.03,20220502
092440,2.04,0.67,-2.49,-0.77,4.17,-13.72,20220502
000270,0.72,6.03,13.75,2.93,-0.82,9.61,20220502
013700,1.17,5.91,-6.47,1.17,-10.5,-1.33,20220502
308100,6.14,1.49,3.66,11.84,-17.07,-27.4,20220502
004540,2.08,2.83,10.6,19.05,9.61,-23.95,20220502
004545,0.42,-2.83,6.9,9.34,4.35,-31.72,20220502
121600,0.0,1.28,13.72,40.63,60.4,136.88,20220502
091970,0.0,0.0,0.0,0.0,0.0,-23.7,20220502
244880,1.77,1.61,1.77,8.79,31.73,35.41,20220502
051490,-1.59,-5.56,-5.25,-11.62,-6.07,-11.62,20220502
257990,-3.34,11.56,18.16,23.32,-1.7,-30.32,20220502
138610,-0.88,1.8,7.86,3.66,-26.22,-32.79,20220502
130580,0.0,-1.12,-1.62,7.75,-2.21,-5.07,20220502
036800,2.81,6.51,5.07,16.26,-7.44,-1.27,20220502
267320,2.83,1.48,-7.36,-18.39,-4.49,-32.64,20220502
008350,-1.66,-5.88,-20.64,37.67,1.02,-23.91,20220502
008355,-1.24,-13.18,-45.85,42.63,22.65,-15.7,20220502
004270,6.27,10.84,5.57,13.98,-5.01,-16.58,20220502
003920,0.49,-0.85,2.51,8.66,-10.62,26.71,20220502
003925,3.83,-0.23,11.86,11.86,-3.56,43.23,20220502
025860,2.86,-3.03,24.68,63.27,7.46,56.52,20220502
111710,-0.33,-1.74,1.35,13.19,-1.53,-8.99,20220502
091590,-0.11,1.66,-4.08,16.2,-0.65,-16.55,20220502
212560,3.04,4.31,0.0,21.0,2.05,7.76,20220502
095660,2.61,-0.23,-13.4,-15.59,-17.37,-8.65,20220502
042420,-1.03,-3.41,-23.8,-40.42,-23.5,10.71,20220502
092730,2.1,3.29,2.3,16.09,0.0,-22.94,20220502
153460,0.95,-1.28,-8.61,5.07,10.84,26.72,20220502
033640,-0.65,5.38,3.23,-1.46,-13.41,-24.12,20220502
