종목코드,종목명,IPO,종가,시가총액,거래량,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,날짜
010690,화신,1994-01-14,8880,311140853100,818231,7347025700,34920410,8760.0,11.98,1.01,741.0,0.79,70.0,20220503
003280,흥아해운,1976-06-29,2905,699636456090,443300,1302884925,240424899,428.0,24.62,6.79,118.0,0.0,0.0,20220503
265520,AP시스템,2017-04-07,23950,365990032950,107040,2586940200,15281421,12713.0,6.09,1.88,3932.0,1.0,240.0,20220503
211270,AP위성,2016-03-04,16050,242070979200,184344,2961388700,15082304,5714.0,162.12,2.81,99.0,0.44,70.0,20220503
032790,BNGT,1997-06-26,4075,120352455875,0,0,29534345,1508.0,15.32,2.7,266.0,0.0,0.0,20220503
950170,JTC,2018-04-06,3470,119193785385,165329,564853085,35005517,,,,,,,20220503
226360,KH 건설,2015-10-22,867,71041334884,199163,172985884,82033874,1363.0,0.0,0.64,0.0,0.0,0.0,20220503
091340,S&K폴리텍,2007-07-30,5210,61444535250,11454,59980570,11703721,8546.0,15.37,0.61,339.0,4.8,250.0,20220503
036540,SFA반도체,2001-05-02,6570,1082148793740,401896,2653145390,164460303,2436.0,20.4,2.7,322.0,0.0,0.0,20220503
049470,SGA,2001-10-11,1030,54976738960,127522,131895850,52862249,901.0,11.7,1.14,88.0,0.0,0.0,20220503
016250,SGC이테크건설,1999-12-28,56200,145568920000,7279,408054500,2599445,84840.0,1.98,0.66,28436.0,2.67,1500.0,20220503
063440,SM Life Design,2002-05-30,2750,126164610810,426609,1183114560,45629154,1068.0,68.75,2.57,40.0,0.0,0.0,20220503
089230,THE E&M,2006-10-10,620,108406369375,388593,243657988,173450191,494.0,0.0,1.26,0.0,0.0,0.0,20220503
161570,THE MIDONG,2013-11-13,1500,23140502550,125100,185957055,15582830,1194.0,0.0,1.26,0.0,0.0,0.0,20220503
022220,TKG애강,2006-04-11,2165,111617317745,350738,759237830,51794579,1740.0,24.6,1.24,88.0,0.0,0.0,20220503
215000,골프존,2015-04-03,174000,1090039585500,44795,7761382800,6275415,45891.0,14.3,3.79,12167.0,2.01,3500.0,20220503
121440,골프존뉴딘홀딩스,2011-05-20,9120,391100148340,167117,1518612160,42836818,14014.0,2.89,0.65,3152.0,1.54,140.0,20220503
355150,교보10호기업인수목적,2020-09-18,2245,11863600000,10498,23359405,5320000,0.0,0.0,0.0,0.0,0.0,0.0,20220503
900070,글로벌에스엠,2009-12-23,808,43425126144,129781,104924155,53743968,,,,,,,20220503
036190,금화피에스시,2000-12-26,32400,193500000000,4638,150120300,6000000,46357.0,8.27,0.7,3919.0,4.01,1300.0,20220503
089600,나스미디어,2013-07-17,29000,305131899900,19729,569150450,10539962,18185.0,11.38,1.59,2548.0,2.76,800.0,20220503
