종목코드,R1D,R1W,R1M,R3M,R6M,R1Y
008770,-0.37,-1.35,12.64,7.08,-9.48,-5.42
036420,0.0,1.07,-4.39,4.43,41.5,28.05
033780,0.5,-0.62,1.91,-4.3,-1.35,1.52
373220,5.34,-1.36,,,,
067310,2.13,4.64,13.65,4.36,57.76,110.58
252990,2.04,-0.91,4.5,5.69,-11.68,
005610,7.25,9.47,26.33,28.86,13.6,24.59
004690,2.46,0.97,10.4,18.99,19.95,23.81
007070,1.51,2.67,-0.37,-11.2,-19.79,-24.93
185750,1.25,1.25,5.99,-8.58,-19.74,-41.42
121600,4.24,2.54,4.63,-12.94,55.86,83.14
025860,6.11,9.16,14.65,-4.65,-5.96,14.27
003230,1.14,0.34,3.14,6.23,7.91,-3.48
031980,2.43,-0.67,-1.01,22.92,15.69,76.22
003070,1.96,5.32,8.62,-8.37,-0.24,2.72
078020,0.54,-0.13,-0.93,-12.69,-14.1,7.22
025900,2.26,4.62,0.0,-32.24,0.14,37.83
108320,4.82,5.57,-9.67,5.75,6.7,80.24
007340,-2.69,4.03,-9.28,13.86,54.49,161.01
005690,0.91,0.45,7.28,-11.24,-32.21,-30.06
199800,2.91,4.73,-24.36,-60.37,-59.12,-53.83
047040,1.75,12.13,16.64,11.73,-6.59,4.59
382840,4.63,2.75,-9.25,-2.71,,
294090,3.66,10.97,-5.97,-13.44,-16.52,-32.76
009830,8.42,14.87,8.74,9.39,-3.55,-21.83
004980,1.2,4.1,-11.81,9.96,27.0,56.98
131970,-0.23,-7.47,-3.83,-0.34,-19.71,-12.35
137310,0.37,6.0,-3.69,-5.52,4.58,
353200,-2.62,9.26,12.82,11.78,35.2,64.07
006390,1.19,3.83,-0.33,-11.42,-9.68,-25.38
293490,2.72,7.55,7.09,-26.27,-0.53,44.08
131390,7.0,13.09,7.78,5.11,13.74,30.7
205470,0.54,-9.25,-9.02,0.27,9.06,208.26
017390,0.79,0.26,6.11,19.0,34.04,103.84
230240,-1.17,4.77,0.68,-2.79,34.77,17.43
339770,2.38,0.0,8.27,-12.24,-21.0,-18.43
033270,-1.09,-0.22,-0.55,-5.11,-10.71,-10.71
005940,2.16,0.85,3.06,-7.81,-8.53,3.96
006800,-0.57,-0.68,4.55,-3.0,0.0,-10.17
105630,1.77,4.54,-1.91,10.29,10.02,11.35
030190,1.34,2.45,-0.79,2.17,-14.9,-12.33
014830,3.12,5.94,6.06,-13.4,-34.89,32.54
007700,4.6,9.42,4.21,-25.52,-41.04,-61.16
001720,-0.32,0.16,3.97,7.89,-0.79,12.32
091120,0.52,-6.47,15.56,65.96,56.94,133.53
084110,0.5,1.34,-2.41,-23.15,-53.55,11.84
299660,1.68,1.37,-13.51,-35.34,-72.55,-9.76
011930,5.25,4.94,1.98,-11.08,-20.48,-42.33
034310,-1.5,-1.79,-4.08,-0.3,-10.6,-3.24
042000,5.38,2.75,-3.07,-17.96,-44.61,-38.01
032640,-0.38,-0.38,0.77,-5.07,-6.43,7.38
028670,0.46,2.48,34.69,23.83,-19.12,15.38
033920,2.86,-2.7,37.76,30.75,46.94,50.21
375500,0.0,5.33,14.73,11.74,-2.28,16.29
290670,1.19,2.1,-17.34,61.65,42.26,37.1
298540,-3.28,3.36,28.03,17.8,-3.15,36.68
002030,1.01,3.45,11.52,21.95,17.19,58.56
161000,1.0,2.01,7.64,-8.56,-15.77,-8.97
192650,-0.44,4.67,14.4,10.89,1.82,11.44
005440,1.67,2.03,9.92,1.19,-11.97,-5.12
016360,-0.24,0.36,4.33,-8.26,-10.78,11.2
383800,0.1,-1.81,3.06,7.96,-0.41,
029530,-1.24,0.79,0.32,-2.75,1.6,9.66
060980,0.86,0.86,-0.61,-13.91,-9.02,-3.88
298050,5.06,10.17,10.42,-22.0,-10.55,64.42
002780,3.7,6.92,13.71,7.18,-1.54,-15.47
002840,-1.32,-4.36,0.81,-9.02,-9.47,15.84
003030,3.56,24.17,35.19,26.57,13.91,193.72
030530,0.99,1.32,0.0,-3.37,-15.47,-27.49
077970,9.06,65.78,66.49,65.26,37.89,129.81
018260,-0.36,0.72,-4.12,-7.0,-18.66,-31.45
121800,2.17,7.14,0.3,-49.54,62.56,41.03
001530,5.82,5.58,3.96,-17.41,-36.73,48.6
043150,-0.27,4.29,10.79,3.55,-12.69,45.51
018250,-0.53,1.34,15.95,-4.3,-21.74,-27.72
141080,0.91,4.36,-5.94,-10.51,-22.96,-13.31
003800,-0.11,-1.0,8.4,3.61,-7.48,7.62
110790,1.1,-0.96,-7.4,-13.33,5.63,65.2
003280,0.58,21.54,63.68,30.21,123.15,123.15
336370,0.32,3.1,-13.42,-38.04,3.27,30.31
095660,3.68,11.18,-13.78,-6.46,-18.88,6.51
005930,-0.55,-2.32,-2.18,-0.83,-5.16,-12.56
093050,-1.12,2.91,13.1,-0.56,-3.8,8.59
010620,1.75,10.63,16.17,6.28,4.37,55.26
003100,0.33,-0.66,-3.37,10.64,18.24,101.67
016590,1.4,4.31,7.52,15.83,3.4,37.41
086450,-1.42,2.46,1.96,3.23,-13.87,-28.77
036200,-0.44,-1.3,-10.63,-13.36,-21.18,-9.2
128940,-0.57,1.74,7.99,0.61,-12.93,-20.05
001510,-0.22,3.85,3.97,-9.0,-1.77,2.65
000250,0.97,3.98,5.94,-17.49,-38.26,-41.89
028300,-1.61,3.03,-1.77,-17.96,-36.65,-6.11
314130,2.29,2.88,-7.9,-25.03,-41.36,-52.23
000810,-1.31,-4.81,-9.4,-8.96,-15.88,5.92
039200,0.0,0.67,-10.23,3.65,-19.65,-12.46
014820,2.64,4.02,3.03,-1.09,3.82,-3.55
002320,1.75,0.87,6.42,-3.33,-25.83,-36.96
007660,-1.8,-4.71,10.45,47.5,99.49,121.67
006650,-4.71,-4.71,5.88,-4.71,-27.03,-55.8
068760,-0.23,0.69,4.03,-28.01,-47.6,-40.69
217330,0.0,-1.36,0.87,-8.23,-1.69,2.29
023410,2.16,4.41,6.64,-0.94,-6.51,-5.2
024720,-0.24,-3.75,20.18,2.75,-14.55,-28.52
019680,1.12,0.84,3.58,-8.82,-15.22,-4.61
119610,-2.0,-3.76,9.48,13.83,10.28,41.48
032500,1.13,2.11,-8.05,-21.5,-31.96,-54.56
126560,-1.54,9.57,12.13,-16.99,-11.64,2.27
376300,7.85,-3.21,-14.15,-37.32,,
031430,0.33,3.05,26.14,5.56,-19.79,-20.83
317400,0.44,0.33,3.04,2.35,-4.08,-12.19
018670,0.0,3.03,3.93,-2.86,3.93,23.83
010950,6.04,10.21,0.45,5.66,-0.99,-0.67
001740,2.49,3.55,0.33,-9.78,-18.56,-16.14
000640,-1.45,0.49,4.08,-11.3,-9.33,-16.05
122990,0.93,6.4,3.35,6.93,-8.47,-26.03
377190,0.0,-0.93,3.09,-0.56,,
099190,-0.18,4.35,-4.66,-4.83,-14.81,12.88
020150,1.32,0.11,-6.31,-32.77,21.34,20.23
039840,1.37,3.91,1.37,-0.45,-33.17,-8.02
073240,-0.13,-0.13,-1.73,-3.4,-33.08,-0.87
063080,6.34,10.47,-25.31,-20.39,343.93,276.49
