종목코드,R1D,R1W,R1M,R3M,R6M,R1Y,R2Y,DT
344820,1.19,3.53,6.52,5.72,6.52,0.12,-10.71,20240801
036670,0.14,0.43,-2.34,-4.45,-1.8,-8.65,-20.18,20240801
009070,9.38,53.66,39.53,55.94,57.11,56.52,34.19,20240801
009440,-0.92,-2.0,-8.81,-30.43,-45.75,-55.04,-67.36,20240801
112190,7.85,-5.9,-10.9,-12.64,-18.23,-35.37,-63.71,20240801
044180,-1.03,-3.43,-4.77,-10.13,-25.97,-37.06,-54.38,20240801
092220,1.2,2.53,-10.9,-14.71,-26.8,-35.82,-57.04,20240801
046440,1.31,0.9,1.0,-2.9,-2.71,-13.13,-28.25,20240801
016380,1.43,2.08,-1.39,-7.79,-15.59,-23.56,-47.84,20240801
035600,4.26,1.7,-1.55,-9.56,-12.0,-2.44,-20.15,20240801
060720,0.68,0.59,-11.7,-21.94,-7.09,-39.83,-43.37,20240801
001940,5.16,10.34,8.11,-9.76,-17.13,17.51,47.0,20240801
058400,0.64,-0.13,-2.12,-12.58,-20.3,-15.68,-25.24,20240801
025000,0.1,2.79,-0.21,6.21,10.75,7.64,-6.45,20240801
092230,-0.7,0.53,0.71,-1.55,6.13,15.01,-4.36,20240801
044450,0.82,5.29,-0.23,2.39,-9.42,1.42,-16.89,20240801
058850,2.57,4.75,-0.47,-0.78,-14.8,-1.69,43.6,20240801
058860,0.76,2.12,-2.22,-8.16,-10.03,-12.85,-2.04,20240801
122450,-1.05,-2.31,-6.01,-10.58,-13.07,-2.2,-43.74,20240801
052900,0.28,2.84,-7.34,-19.5,-18.65,-14.76,-25.62,20240801
376190,0.72,1.63,-5.25,-14.76,-24.22,-24.43,-28.84,20240801
061970,1.45,3.14,-8.07,-23.56,-28.19,-31.28,-40.13,20240801
309960,0.64,2.96,6.33,12.17,-1.05,13.66,,20240801
093050,-0.21,3.65,5.84,-6.21,10.53,2.77,-14.26,20240801
003550,-0.69,6.96,8.44,10.67,5.0,0.0,7.89,20240801
051900,-0.57,2.49,-2.78,-17.74,15.32,-22.05,-54.37,20240801
051905,0.64,2.76,-0.51,-17.35,14.25,-18.17,-60.08,20240801
