종목코드,종목명,IPO,종가,시가총액,거래량,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,DT
084850,아이티엠반도체,2019-11-07,20950,476341614000,6309,131913800,22682934,9379.0,0.0,2.23,0.0,0.0,0.0,20231110
059120,아진엑스텍,2014-07-24,12440,121272534240,3095024,38636183090,9748596,4743.0,70.68,2.62,176.0,0.6,75.0,20231110
067160,아프리카TV,2003-12-19,66000,757505145300,114604,7469299300,11494767,22106.0,12.12,2.99,5445.0,1.11,730.0,20231110
065660,안트로젠,2016-02-15,12820,125048143050,9014,115588760,9731373,10974.0,0.0,1.17,0.0,0.0,0.0,20231110
148250,알엔투테크놀로지,2016-06-22,4435,32262526890,9649,42185995,7391186,5838.0,0.0,0.76,0.0,0.68,30.0,20231110
092600,앤씨앤,2007-06-26,1415,35493176555,14753,21065481,25083517,2261.0,0.0,0.63,0.0,0.0,0.0,20231110
304360,에스바이오메딕스,2023-05-04,7220,82193801000,554299,4292829490,11337076,,,,,,,20231110
039440,에스티아이,2002-02-28,34600,548509500000,751636,25472831400,15830000,14767.0,17.31,2.34,1999.0,0.72,250.0,20231110
088800,에이스테크,2006-03-27,1628,113070460041,665303,1079466243,69926073,1355.0,0.0,1.2,0.0,0.0,0.0,20231110
044780,에이치케이,2000-09-07,1780,32866277712,94734,169454470,18505787,3220.0,7.64,0.55,233.0,1.69,30.0,20231110
200470,에이팩트,2014-12-26,2880,122214638305,61938,178415365,42362093,2805.0,27.43,1.03,105.0,0.0,0.0,20231110
230240,에치에프알,2015-12-16,21050,279897289500,45147,933610000,13489026,13150.0,4.11,1.6,5127.0,0.0,0.0,20231110
440820,엔에이치스팩27호,2022-12-16,2025,15795000000,3178,6393805,7800000,,,,,,,20231110
450410,엔에이치스팩28호,2023-03-09,3970,15601600000,40892,162883230,3920000,,,,,,,20231110
451700,엔에이치스팩29호,2023-06-23,1990,28556500000,1967,3914722,14350000,,,,,,,20231110
156100,엘앤케이바이오,2016-11-30,7610,152715451380,65306,500763740,19936743,824.0,0.0,9.24,0.0,0.0,0.0,20231110
323230,엠에프엠코리아,2019-06-19,2280,85523739750,640100,1380832225,38010551,1058.0,0.0,2.16,0.0,0.0,0.0,20231110
010470,오리콤,2000-10-24,12530,148849871500,83554,1033016160,11975050,9183.0,11.83,1.36,1059.0,2.15,270.0,20231110
352910,오비고,2021-07-13,8790,106939957470,9875,86295590,12166093,2879.0,0.0,3.05,0.0,0.0,0.0,20231110
138080,오이솔루션,2014-02-27,12050,128551549500,10271,124236760,10624095,14050.0,0.0,0.86,0.0,1.66,200.0,20231110
173130,오파스넷,2018-08-24,16170,191901757400,343710,5481381060,11860430,3006.0,31.34,5.38,516.0,0.31,50.0,20231110
394280,오픈엣지테크놀로지,2022-09-26,16610,356232846000,131289,2193741470,21459810,1524.0,0.0,10.9,0.0,0.0,0.0,20231110
432430,와이랩,2023-07-20,7650,120634917480,287233,2216685600,15831354,875.0,0.0,8.74,0.0,0.0,0.0,20231110
