종목코드,R1D,R1W,R1M,R3M,R6M,R1Y,날짜
066570,-0.43,-1.29,0.88,-10.16,-6.12,-24.09,20220506
066575,-0.86,-1.03,-0.17,-5.56,-9.28,-20.08,20220506
037560,-4.51,-1.55,18.69,32.29,-8.1,27.77,20220506
051910,0.39,0.19,-1.89,-23.3,-34.18,-44.56,20220506
051915,0.39,2.4,-4.3,-18.73,-29.28,-41.55,20220506
079550,-0.47,3.9,19.3,43.84,78.83,112.19,20220506
006260,-0.7,-1.56,12.48,9.44,-8.39,-21.87,20220506
010120,-0.79,4.91,14.87,1.21,-15.63,-11.78,20220506
000680,-3.62,0.13,3.49,3.35,13.53,39.1,20220506
229640,0.99,2.0,1.49,7.66,-3.66,0.62,20220506
108320,-3.63,-6.09,-10.85,-2.27,10.83,26.67,20220506
001120,2.96,4.16,13.46,49.44,52.28,15.42,20220506
108670,-1.42,-6.09,-9.02,-2.8,-18.98,-41.7,20220506
108675,-1.04,-2.56,-8.64,8.14,-12.29,-37.66,20220506
023150,-3.17,-8.94,7.43,14.44,-9.32,4.9,20220506
160550,-2.4,0.5,-6.45,-23.11,-35.14,0.0,20220506
053290,-0.67,3.32,-8.8,-43.7,-57.25,-61.15,20220506
104200,-0.83,-1.64,-25.23,-2.83,32.6,91.08,20220506
005945,-1.85,0.47,-6.61,-1.85,-15.2,-7.02,20220506
338100,-0.2,-1.38,0.6,7.38,2.87,10.09,20220506
034310,-1.18,-1.76,0.3,-1.47,-0.3,-12.07,20220506
030190,-0.28,-4.35,-9.51,-5.12,-12.22,-21.08,20220506
008260,-3.0,-7.87,5.57,38.02,45.31,-10.57,20220506
004250,-3.6,-7.36,16.05,22.85,76.86,143.18,20220506
004255,-3.99,-10.44,47.12,47.12,97.17,118.88,20220506
010060,0.46,2.84,2.36,19.23,-12.5,-10.7,20220506
178920,-2.42,-3.34,-0.32,8.55,1.53,-3.94,20220506
024940,2.29,-4.29,-15.2,40.44,-1.53,-25.64,20220506
