종목코드,종목명,IPO,종가,시가총액,거래량,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,날짜
223310,커머스마이너,2015-12-24,3320,44267239920,0,0,13333506,1495.0,0.0,2.22,0.0,0.0,0.0,20220509
342550,케이비제20호스팩,2020-01-30,2210,14367210000,22246,48969320,6501000,0.0,0.0,0.0,0.0,0.0,0.0,20220509
347140,케이프이에스제4호,2020-03-24,2170,6499440000,5568,12046660,3009000,0.0,0.0,0.0,0.0,0.0,0.0,20220509
042040,케이피엠테크,2003-01-07,769,122130995400,431773,331279376,159648360,657.0,0.0,1.17,0.0,0.0,0.0,20220509
054410,케이피티유,2002-04-25,6530,33193600000,17933,118022730,5060000,7478.0,5.45,0.87,1199.0,0.0,0.0,20220509
274090,켄코아에어로스페이스,2020-03-03,15300,183729330400,369666,5813098700,11930476,2169.0,0.0,7.05,0.0,0.0,0.0,20220509
082660,코스나인,2005-10-05,1080,53466962795,1669364,1809873654,47952433,501.0,0.0,2.16,0.0,0.0,0.0,20220509
069110,코스온,2003-10-14,2630,62963935800,0,0,23940660,733.0,0.0,3.59,0.0,0.0,0.0,20220509
102940,코오롱생명과학,2009-04-07,34750,397149988800,30944,1083954950,11412356,8720.0,0.0,3.99,0.0,0.0,0.0,20220509
322780,코퍼스코리아,2019-05-31,3090,111200146140,329947,1012430075,35755674,1422.0,12.77,2.17,242.0,0.49,15.0,20220509
237880,클리오,2016-11-09,19150,342842918100,108775,2100421650,17949891,9911.0,34.69,1.93,552.0,0.78,150.0,20220509
139670,키네마스터,2011-12-02,13050,178133937050,86074,1151457650,13546307,1761.0,0.0,7.41,0.0,0.0,0.0,20220509
065130,탑엔지니어링,2003-01-29,6830,109117835310,21020,143932990,15976257,12349.0,0.0,0.55,0.0,0.0,0.0,20220509
200230,텔콘RF제약,2014-11-24,2020,211356375230,224094,455695720,104116441,1067.0,0.0,1.89,0.0,0.0,0.0,20220509
045340,토탈소프트,2002-07-19,8360,71374053600,8181440,72071301320,8558040,1896.0,23.75,4.41,352.0,0.0,0.0,20220509
105550,트루윈,2014-07-11,3600,154994998770,324275,1138754615,43476858,1535.0,0.0,2.35,0.0,0.0,0.0,20220509
290090,트윔,2021-11-17,18250,133462322400,59936,1118213650,7353296,10315.0,50.69,1.77,360.0,0.0,0.0,20220509
