종목코드,종목명,섹터,날짜
096770,SK이노베이션,에너지,20220512
010950,S-Oil,에너지,20220512
267250,HD현대,에너지,20220512
078930,GS,에너지,20220512
006120,SK디스커버리,에너지,20220512
005090,SGC에너지,에너지,20220512
001390,KG케미칼,에너지,20220512
046120,오르비텍,에너지,20220512
002960,한국쉘석유,에너지,20220512
041590,플래스크,에너지,20220512
137950,제이씨케미칼,에너지,20220512
060900,대한그린파워,에너지,20220512
322000,현대에너지솔루션,에너지,20220512
093230,이아이디,에너지,20220512
091090,세원이앤씨,에너지,20220512
099220,SDN,에너지,20220512
128820,대성산업,에너지,20220512
014530,극동유화,에너지,20220512
013810,스페코,에너지,20220512
024060,흥구석유,에너지,20220512
003650,미창석유,에너지,20220512
095910,에스에너지,에너지,20220512
270520,지엔원에너지,에너지,20220512
065420,에스아이리소스,에너지,20220512
000440,중앙에너비스,에너지,20220512
078940,코드네이처,에너지,20220512
294630,서남,에너지,20220512
043200,파루,에너지,20220512
012320,경동인베스트,에너지,20220512
313760,윌링스,에너지,20220512
051910,LG화학,화학,20220512
009830,한화솔루션,화학,20220512
003670,포스코케미칼,화학,20220512
011170,롯데케미칼,화학,20220512
011790,SKC,화학,20220512
011780,금호석유,화학,20220512
014680,한솔케미칼,화학,20220512
010060,OCI,화학,20220512
086520,에코프로,화학,20220512
004000,롯데정밀화학,화학,20220512
285130,SK케미칼,화학,20220512
298050,효성첨단소재,화학,20220512
120110,코오롱인더,화학,20220512
005070,코스모신소재,화학,20220512
000210,DL,화학,20220512
093370,후성,화학,20220512
005690,파미셀,화학,20220512
178920,PI첨단소재,화학,20220512
014830,유니드,화학,20220512
383310,에코프로에이치엔,화학,20220512
069260,TKG휴켐스,화학,20220512
121600,나노신소재,화학,20220512
006650,대한유화,화학,20220512
004430,송원산업,화학,20220512
298000,효성화학,화학,20220512
007690,국도화학,화학,20220512
102710,이엔에프테크놀로지,화학,20220512
005420,코스모화학,화학,20220512
104830,원익머트리얼즈,화학,20220512
025860,남해화학,화학,20220512
005950,이수화학,화학,20220512
161000,애경케미칼,화학,20220512
089010,켐트로닉스,화학,20220512
003240,태광산업,화학,20220512
002840,미원상사,화학,20220512
104480,티케이케미칼,화학,20220512
101360,이엔드디,화학,20220512
033500,동성화인텍,화학,20220512
055490,테이팩스,화학,20220512
012610,경인양행,화학,20220512
268280,미원에스씨,화학,20220512
