종목코드,R1D,R1W,R1M,R3M,R6M,R1Y
095570,2.49,6.55,14.66,12.16,4.39,40.45
006840,1.16,0.0,2.83,10.38,-21.3,-24.57
054620,-2.93,-3.33,8.92,-10.77,-33.9,28.18
027410,-0.38,0.38,5.18,-1.31,-13.16,-18.64
282330,-2.76,-1.12,6.67,20.96,2.03,7.65
138930,1.4,3.11,2.31,-9.55,-1.97,18.1
001460,-0.67,1.25,-1.44,-2.74,-6.32,28.65
001465,0.0,0.56,-0.56,-0.28,-5.82,18.67
001040,1.08,4.19,3.05,-0.94,-17.16,-10.3
035760,-2.43,-3.1,-1.53,-9.2,-15.7,-9.26
00104K,-0.14,2.1,-0.82,0.83,-11.54,-2.02
000120,1.96,-0.76,5.26,0.78,-21.92,-29.73
011150,0.6,5.62,15.6,13.12,4.97,-11.24
011155,-2.26,-7.07,-0.54,-1.21,-7.42,-1.87
001045,0.0,3.98,5.93,-7.45,-17.9,-7.62
097950,2.45,6.51,1.21,-4.44,-12.44,-9.82
097955,0.6,3.74,3.1,-8.01,-17.16,-11.44
051500,-1.69,-3.73,-7.69,22.11,-1.56,43.21
058820,-1.77,-2.06,3.26,-14.83,-21.09,-25.25
023460,-0.4,-0.4,14.42,-3.15,-31.19,-12.92
056730,0.0,0.0,0.0,0.0,0.0,0.0
056000,0.0,0.0,0.0,0.0,0.0,0.0
000590,-0.42,2.16,1.72,10.94,13.24,17.74
012030,-1.67,9.19,17.27,8.95,-4.04,14.98
367340,-0.23,-0.23,0.95,0.24,-1.16,2.16
367360,0.23,0.0,1.65,2.63,-0.23,5.91
016610,2.78,3.42,8.48,-1.63,-0.45,16.46
005830,3.41,14.43,14.24,19.32,11.32,53.41
000990,0.79,5.66,9.43,9.43,35.1,38.52
000995,0.53,0.21,-1.04,-7.57,-10.19,-6.67
139130,1.29,2.06,2.5,-3.58,0.53,14.6
001880,1.18,1.01,13.64,9.69,-4.91,-11.89
000215,1.98,2.8,6.04,0.39,-12.37,-11.67
375500,0.75,7.57,9.31,10.2,-2.17,8.43
37550K,4.87,17.36,24.32,14.09,6.1,10.09
068790,0.63,0.31,3.04,-3.01,-12.26,-22.41
004840,0.0,2.54,5.11,2.74,-19.72,-22.79
155660,-0.31,-0.62,19.96,13.2,-33.71,17.98
069730,0.38,0.38,19.73,13.55,-43.41,-0.75
017940,0.65,-1.17,-1.38,-6.46,-23.22,9.46
079190,-2.44,1.82,3.7,-5.72,-49.64,-49.64
050120,-4.94,7.18,8.35,23.35,25.95,15.03
114090,-0.34,-0.68,-0.68,11.07,-9.91,-12.87
900290,0.0,-1.2,-8.89,-0.4,29.34,29.34
078930,5.51,7.49,6.3,5.39,-1.49,10.53
083450,-1.26,2.29,-3.4,-15.18,13.0,39.73
001250,1.23,2.7,6.0,6.68,-2.75,4.87
078935,1.88,2.02,3.22,-3.81,-4.59,10.49
078150,-0.41,0.61,6.97,-8.4,-1.01,-22.31
012630,-2.11,-4.0,-0.93,-29.14,-32.97,-33.87
089470,-0.42,-0.32,-1.16,-21.96,-20.37,-23.37
294870,-5.26,-3.57,2.21,-31.06,-42.14,-46.09
097230,-1.62,-0.13,8.99,-0.13,-18.51,9.6
036640,-0.95,2.08,-1.54,14.58,10.33,55.12
335870,0.23,0.0,0.7,-1.83,-4.23,-0.92
351340,0.23,-0.46,1.64,1.64,-2.04,3.1
099520,0.0,0.0,0.0,0.0,0.0,0.0
175330,1.44,2.8,3.56,-1.86,0.72,34.24
950170,1.0,4.14,12.83,16.45,-10.65,-11.7
234080,0.69,-1.68,-1.35,2.81,-12.01,-24.09
035900,-0.17,10.02,15.94,16.06,45.11,59.94
024840,0.0,0.99,7.05,5.94,-5.09,-5.53
024120,-0.83,-1.65,2.58,-10.64,-12.87,-38.75
002380,0.0,2.44,1.36,6.67,-26.15,46.41
021320,-0.94,1.93,29.77,26.96,-5.8,18.54
344820,-1.38,-2.28,11.07,5.94,-19.25,32.92
036670,0.0,1.6,6.07,-2.84,-0.67,-4.3
009070,1.54,0.0,10.59,-6.15,-7.03,-10.39
009440,-1.4,1.32,4.84,0.6,-23.87,-6.11
112190,-3.51,-1.97,-8.38,13.51,-30.37,68.35
151860,-1.61,-1.61,-7.55,-16.95,-24.15,103.49
016380,0.45,0.0,8.74,4.19,-19.13,-14.18
016385,0.46,4.29,13.47,15.75,-4.37,-7.2
046440,5.29,5.52,12.35,-20.75,-4.31,-1.34
035600,6.99,28.57,30.77,16.5,27.15,19.53
001390,1.14,4.38,11.53,1.98,-9.37,14.84
001940,-1.41,2.05,12.22,16.72,-17.49,3.25
122450,0.38,2.17,11.27,0.13,-16.93,-35.74
058400,1.92,-0.75,8.57,0.0,-21.53,-35.44
114450,-2.42,7.19,12.83,-45.98,-20.14,-19.29
025000,-0.55,1.31,2.27,-1.28,-12.76,-12.62
092230,0.0,1.48,2.15,-6.66,-7.22,6.01
000040,1.35,-0.33,19.15,3.68,-12.85,-32.94
030200,2.43,8.31,13.09,9.63,10.48,26.68
033780,0.0,0.25,1.13,-4.04,-0.37,0.5
030210,-2.09,0.19,3.61,-3.55,-23.78,16.87
058850,1.06,0.42,9.2,-9.52,-13.32,-21.88
058860,2.07,3.14,9.33,-2.77,-5.2,-18.0
060370,-2.35,1.22,16.43,7.2,-1.36,-4.44
093050,0.0,-0.55,1.99,4.06,-1.91,8.13
034220,-0.49,2.76,8.78,-12.23,7.92,-6.83
051900,-3.69,-1.76,-11.36,-26.24,-37.64,-45.21
051905,-2.49,0.0,-5.04,-17.9,-22.76,-26.76
032640,-0.36,4.1,6.08,-0.71,-5.74,12.05
011070,-2.98,-3.46,19.57,9.83,80.18,90.27
066570,-0.41,-2.44,-3.23,-13.04,-13.98,-16.08
066575,0.0,-0.51,-1.52,-11.92,-14.49,-14.24
037560,-1.11,-1.65,7.21,-5.31,-29.97,14.44
051910,-0.57,6.73,-5.6,-16.59,-31.27,-34.79
051915,1.32,6.77,-2.19,-10.37,-25.35,-27.96
079550,2.87,6.06,23.12,19.21,51.54,103.88
006260,0.97,0.97,8.37,-4.43,-21.63,-21.52
010120,-3.52,-1.63,6.1,-19.2,-33.06,-24.08
000680,-1.12,-2.35,-0.84,18.86,-8.67,25.18
229640,-0.63,0.26,3.43,-1.01,-10.51,2.09
108320,-0.81,6.09,29.67,-8.67,38.24,93.39
001120,1.33,9.25,18.72,27.56,18.31,13.04
108670,1.82,0.98,16.67,-0.48,-25.42,-23.86
108675,-0.16,2.5,18.01,6.39,-20.62,-18.3
023150,-0.1,2.85,6.09,-6.6,-28.24,12.96
160550,-6.01,-2.23,4.78,-14.79,-7.2,-19.19
053290,0.46,8.19,-34.93,-24.5,-42.63,-23.51
104200,1.77,4.96,20.0,11.67,235.56,181.12
005945,-0.44,0.89,5.61,-10.67,-8.5,23.77
338100,-0.71,-0.61,1.45,2.62,1.56,11.5
034310,0.6,-1.18,1.2,3.38,-6.41,-1.75
030190,-1.77,4.29,1.57,3.73,-10.16,-22.04
008260,0.2,2.62,17.28,50.37,16.74,50.15
004250,0.33,-2.8,4.15,-9.43,30.12,112.47
004255,-0.7,-3.52,-1.62,1.07,29.22,80.25
010060,-3.21,-3.65,0.96,0.0,-23.83,-4.95
178920,3.71,4.3,7.21,-12.02,-23.17,0.22
024940,-2.5,17.79,81.16,50.32,15.84,47.02
005490,0.0,4.36,8.71,6.39,-13.19,-5.82
091340,-0.57,1.54,4.99,-10.7,-5.9,2.94
010950,6.18,11.63,17.67,12.01,-6.76,20.42
010955,3.13,4.87,10.02,-2.61,-7.44,22.27
019550,2.61,6.8,9.41,-0.95,-7.37,-8.99
034120,-1.55,1.85,-4.96,-10.04,-27.72,89.86
046140,-1.4,0.91,7.63,-5.83,4.44,9.76
036120,-0.16,0.78,-0.46,-4.46,-1.53,-28.56
036540,-0.99,0.43,7.49,-7.86,5.4,-10.56
040610,0.75,1.7,22.55,18.5,3.46,-1.82
005090,0.79,-1.54,-3.94,11.06,0.39,32.99
001380,1.75,2.01,17.97,11.2,-14.5,-24.63
004060,3.56,6.93,15.95,12.84,3.14,6.93
001770,-0.79,1.13,8.49,5.92,11.99,32.35
