종목코드,R1D,R1W,R1M,R3M,R6M,R1Y
095570,1.48,6.2,15.33,13.0,4.58,38.96
006840,0.91,0.0,4.49,13.92,-18.3,-20.36
054620,-1.26,-1.26,2.16,-22.88,-24.84,26.34
027410,0.95,1.72,5.75,0.38,-11.9,-18.75
282330,0.29,-3.61,2.36,18.84,0.29,9.12
138930,-0.75,0.38,0.38,-5.83,-7.92,17.19
001460,0.23,-2.53,-2.64,-4.22,-2.96,28.63
001465,0.0,-0.56,-0.56,-3.53,-4.05,18.73
001040,0.48,0.72,-0.12,-0.59,-15.92,-10.26
035760,0.23,-4.44,-0.77,-7.59,-14.51,-8.64
00104K,0.69,0.14,-1.08,1.39,-10.76,-1.75
000120,0.38,-1.13,5.65,3.56,-17.87,-29.76
011150,-1.55,3.38,12.55,10.89,3.0,-13.97
011155,0.41,-7.65,-1.87,-0.27,-7.88,-0.54
001045,0.59,1.59,4.29,-5.37,-16.23,-7.26
097950,0.27,2.19,-1.32,-3.86,-10.32,-9.12
097955,0.3,2.44,3.07,-6.15,-16.0,-8.7
051500,0.73,0.0,-8.08,20.07,1.61,45.49
058820,2.2,3.1,8.22,-8.88,-12.75,-21.13
023460,2.01,0.0,16.02,-0.59,-24.78,-6.97
056730,0.0,0.0,0.0,0.0,0.0,0.0
056000,0.0,0.0,0.0,0.0,0.0,0.0
000590,0.84,2.28,3.61,12.19,11.84,13.61
012030,3.98,8.4,21.94,10.7,2.96,19.84
367340,0.47,0.23,1.42,1.18,0.71,2.64
367360,-1.16,0.24,0.24,1.43,-0.93,4.42
016610,-0.15,2.15,6.24,1.68,0.61,11.04
005830,-0.87,1.93,10.84,26.85,5.55,47.31
000990,0.26,2.54,10.66,5.06,40.66,34.5
000995,5.07,7.86,5.62,-0.49,-2.4,-2.4
139130,-0.32,1.4,-0.84,-0.21,-2.29,12.31
001880,-0.34,-1.17,8.67,8.67,-5.91,-15.62
000215,-0.13,3.85,5.68,3.71,-14.16,-9.7
375500,0.76,1.15,2.72,10.0,-1.86,9.09
37550K,2.1,16.67,22.92,17.66,8.12,11.92
068790,1.49,5.1,8.8,0.59,-3.27,-20.28
004840,-0.19,-0.57,4.92,0.77,-19.2,-23.46
155660,4.77,1.7,19.82,16.64,-33.43,18.1
069730,2.9,-4.48,17.27,13.16,-44.25,0.0
017940,0.32,-0.95,0.32,-1.99,-22.69,9.21
079190,3.45,4.53,9.49,0.67,-46.04,-46.04
050120,-0.17,-2.99,6.18,20.41,26.96,12.96
114090,1.72,0.68,1.37,12.98,-8.92,-9.76
900290,-0.8,0.4,-5.68,1.22,30.91,30.91
078930,-0.81,5.19,6.5,7.85,-6.89,9.09
083450,-0.31,1.61,-2.62,-13.29,18.54,43.54
001250,5.96,9.11,17.48,16.99,6.78,16.0
078935,0.0,0.43,2.33,0.0,-5.77,9.35
078150,0.0,-1.82,6.11,-8.65,0.21,-22.49
012630,0.98,-6.27,-6.02,-31.62,-35.61,-35.89
089470,1.17,0.0,-2.16,-19.76,-20.57,-22.51
294870,2.95,-8.19,-2.18,-32.62,-42.81,-46.05
097230,1.29,-0.88,7.37,0.38,-16.98,9.92
036640,-0.12,-7.5,-4.46,11.81,4.63,46.14
335870,0.7,1.17,1.88,0.46,-4.42,-0.23
351340,0.7,0.46,1.88,1.64,-1.14,3.34
099520,0.0,0.0,0.0,0.0,0.0,0.0
175330,-0.47,0.6,2.43,2.43,-0.94,32.18
950170,2.1,6.2,13.92,14.06,-9.14,-10.89
234080,0.34,1.03,-5.16,4.63,-9.82,-21.6
035900,5.74,6.67,21.97,20.87,51.62,70.79
024840,-1.22,-2.4,6.28,3.84,-7.09,-9.98
