종목코드,R1D,R1W,R1M,R3M,R6M,R1Y
095570,2.38,-2.71,13.76,28.74,13.36,29.13
006840,-2.69,-4.27,10.3,21.08,-10.46,-18.93
054620,3.24,2.0,5.81,0.79,-16.67,27.76
027410,0.76,-0.75,1.15,2.32,-6.54,-30.03
282330,1.96,1.68,4.0,30.94,1.11,12.35
138930,1.39,0.0,5.66,-9.06,-6.84,18.96
001460,-0.22,0.88,0.66,-9.5,6.78,19.17
001465,0.28,1.11,2.25,-7.85,1.11,11.66
001040,0.58,2.22,7.9,7.24,-10.08,-6.02
035760,-0.63,-6.77,-0.32,-4.2,-26.38,-12.19
00104K,-0.94,0.41,3.93,5.26,-8.52,-0.27
000120,0.0,-3.94,-8.96,-3.17,-17.01,-31.46
011150,1.35,-2.48,7.4,8.53,9.54,-19.71
011155,0.79,2.54,-3.53,6.09,-4.13,2.68
001045,-0.38,0.97,6.12,6.01,-12.75,-10.34
097950,0.51,2.32,13.92,3.12,-0.5,-5.48
097955,1.16,1.75,7.74,-0.29,-12.12,-8.9
051500,2.18,1.49,-4.82,32.69,16.07,58.77
058820,-2.89,-7.53,-4.34,-11.86,-17.76,-30.54
023460,-1.0,-3.69,15.62,1.64,-21.27,-18.42
056730,0.0,0.0,0.0,0.0,0.0,0.0
056000,0.0,0.0,0.0,0.0,0.0,0.0
000590,-0.6,-4.72,-2.49,1.22,5.05,-4.99
012030,-1.45,-7.27,13.08,5.7,2.72,9.68
367340,1.86,2.58,3.07,3.31,4.3,4.05
367360,0.92,2.57,4.03,4.28,5.78,6.04
016610,-0.45,-1.48,4.55,-0.15,2.78,-0.3
005830,1.13,3.16,24.83,11.65,8.77,55.97
000990,-1.58,-5.9,-1.86,-12.05,36.11,23.16
000995,-1.3,-1.0,3.89,-1.0,1.02,-10.27
139130,0.97,0.21,2.75,-4.11,-6.61,14.48
001880,-1.96,-4.52,-8.35,-11.88,-7.73,-25.2
000215,-0.12,-0.75,8.12,4.44,-4.54,-9.1
375500,-1.59,-53.21,-53.73,-53.38,-53.9,-51.18
37550K,-3.17,-56.37,-47.72,-48.16,-51.65,-51.65
068790,-0.31,-3.87,0.16,-7.85,1.57,-25.49
004840,0.94,0.37,7.2,2.68,-4.8,-20.94
155660,-0.66,-6.36,6.34,4.5,-24.22,-2.11
069730,-2.68,-9.91,7.38,4.84,-38.3,-12.99
017940,-0.74,-1.27,1.96,-2.4,-12.12,4.12
079190,-3.62,-10.94,8.12,-0.68,-24.48,-47.3
050120,-0.7,-0.7,-1.22,16.75,28.07,6.97
114090,1.31,-0.64,2.32,16.6,-4.92,-4.33
900290,-0.4,-1.2,-0.8,0.82,29.86,29.86
078930,2.54,-0.67,9.77,11.56,1.37,14.14
083450,0.16,-4.32,0.16,-9.22,20.16,16.98
001250,29.98,36.21,47.82,48.74,26.74,37.26
078935,0.56,0.28,4.93,4.93,-1.23,9.7
078150,-0.22,-1.28,-5.33,-6.67,-0.22,-38.48
012630,-1.93,-2.6,-9.4,-32.74,-32.1,-43.19
089470,0.54,-3.04,-5.61,-18.77,-19.2,-26.51
294870,-1.68,-4.87,-20.6,-43.22,-43.76,-49.66
097230,-1.39,-2.97,1.16,-1.14,-20.59,4.4
036640,-2.87,-5.23,-10.77,5.84,2.64,30.05
335870,0.43,3.52,10.56,7.78,4.67,8.53
351340,0.0,1.58,5.62,5.13,6.62,5.87
099520,0.0,0.0,0.0,0.0,0.0,0.0
175330,2.11,2.35,9.3,1.16,1.75,31.42
950170,-1.64,-6.94,4.9,15.26,-15.03,-12.89
234080,0.0,-1.35,-0.34,5.8,-2.99,-23.96
035900,-0.31,3.37,21.01,42.54,52.84,88.05
024840,-0.5,-6.1,2.56,0.0,1.01,-14.35
024120,-1.62,-1.3,2.18,-8.42,-9.24,-40.0
002380,-0.31,-7.42,-1.7,-13.7,-15.76,16.91
021320,-2.02,-8.16,3.71,3.01,-9.51,-8.16
344820,0.81,-2.82,-1.59,-4.17,-1.43,17.87
036670,-0.78,-1.32,4.93,-1.65,6.43,-8.02
009070,5.69,3.72,15.94,8.78,16.75,8.96
009440,0.24,-3.14,1.84,-7.96,-17.62,-16.97
112190,-0.49,0.37,-4.39,-3.59,-21.54,45.31
151860,5.35,22.57,25.0,9.38,1.94,143.43
046440,1.17,4.74,7.58,-8.12,4.39,-9.43
016380,1.27,43.69,49.07,35.74,25.59,2.24
016385,29.89,174.55,178.34,215.9,199.01,149.59
035600,-1.02,-12.98,8.06,6.87,6.87,-6.27
001390,12.77,35.18,44.6,37.19,32.38,50.91
001940,0.0,-1.14,9.43,14.1,-16.14,-1.14
122450,2.54,4.56,13.96,6.13,-6.6,-28.35
058400,-0.75,-7.04,5.6,0.38,-12.87,-39.03
114450,-0.78,-6.46,2.41,-33.51,-16.84,-30.46
025000,0.0,0.74,1.87,2.26,-10.08,-16.44
092230,-0.49,-1.13,0.99,-4.09,-7.85,-3.02
000040,1.5,-1.46,14.64,1.04,-11.77,-37.58
030200,1.38,0.41,14.64,19.48,17.38,31.66
033780,0.61,1.11,2.62,4.84,1.98,0.86
058850,0.0,-3.75,1.09,-8.33,-10.47,-22.74
058860,0.62,-1.41,5.38,-2.58,-2.0,-18.87
060370,0.72,-3.79,-1.93,0.36,3.33,-8.96
093050,-0.56,-1.65,0.56,4.69,1.13,-5.56
034220,-1.6,-7.73,-0.8,-22.27,3.35,-27.17
051900,1.5,-2.54,-3.29,-7.85,-36.34,-43.74
051905,0.0,-2.14,0.8,-9.84,-23.87,-26.32
032640,2.82,3.18,8.55,6.96,1.04,14.96
011070,-3.41,-4.29,4.99,11.33,87.06,75.06
066570,2.46,6.84,2.46,-3.85,4.17,-21.14
066575,1.67,4.99,3.74,-3.63,-1.13,-16.78
037560,0.19,-4.23,-0.19,-0.38,-23.83,7.09
051910,-2.86,-3.04,8.05,-28.17,-33.25,-37.19
051915,-1.34,-2.82,1.57,-17.68,-29.18,-32.59
