종목코드,R1D,R1W,R1M,R3M,R6M,R1Y
011690,0.0,0.0,0.0,0.0,0.0,0.0
000150,0.44,2.69,19.02,5.53,27.93,137.31
005420,1.09,-2.46,4.12,-4.14,-25.27,16.81
001060,11.48,10.57,33.66,25.21,3.07,-4.66
104480,0.55,1.65,5.94,13.55,-13.05,76.68
012630,2.6,2.34,3.01,-23.12,-32.94,-28.69
063170,1.64,1.16,-8.03,-29.73,20.17,140.6
053800,4.24,11.82,-6.7,8.21,9.5,-19.87
041830,1.58,3.83,17.85,12.69,-12.71,34.82
000880,1.51,-3.21,2.03,-4.88,-13.22,0.17
395400,0.62,3.7,5.05,9.88,,
053030,0.99,7.39,11.72,-3.79,-20.37,-45.05
010120,2.85,5.12,-8.04,-16.7,-34.18,-20.93
136510,-0.21,-10.38,-11.41,18.58,253.62,1422.88
185750,2.07,1.34,3.57,-8.59,-19.93,-40.8
004490,1.77,-1.71,-0.94,-17.12,-24.25,-27.46
004800,1.56,-0.47,3.94,-15.6,-29.67,3.81
075580,0.74,-6.72,-1.88,21.86,8.11,36.0
271940,1.22,-5.08,-10.86,-29.79,,
067160,1.23,9.54,-3.27,-26.13,-3.39,83.07
093370,3.24,-9.69,-8.61,-17.14,34.04,87.25
030520,0.0,-0.98,-4.47,-38.2,-8.56,15.01
009830,2.26,-1.36,8.55,1.12,-11.17,-21.56
013580,2.11,3.12,16.53,5.68,-12.0,28.04
032830,1.54,-1.16,-7.04,-10.41,-20.27,-24.81
054210,1.85,-10.39,-8.91,16.46,65.87,62.54
000270,1.58,-1.94,-9.59,-14.3,-16.92,-11.96
004980,6.34,12.2,-5.0,22.84,31.94,77.02
006400,1.21,-8.04,-11.44,-27.31,-36.57,-27.73
029530,0.16,-0.79,-2.02,-4.25,-1.87,8.23
281740,0.99,-5.34,-7.06,-0.86,-12.85,20.68
144510,3.84,3.23,1.44,-25.92,-33.68,-26.39
036830,0.9,-4.45,-5.26,-23.35,-18.42,-37.09
039490,-0.6,-2.46,6.45,-6.16,-16.1,-23.55
089970,7.07,7.92,8.78,18.21,0.99,0.0
329180,-1.32,-3.86,10.34,0.9,,
285490,1.54,-6.58,-9.84,-2.44,11.62,9.21
005380,0.6,-0.88,-9.38,-17.96,-20.47,-29.58
032190,3.86,-1.1,-1.47,-2.54,-4.27,2.28
011930,0.0,-0.83,-1.38,-2.72,-22.51,-44.5
003240,2.43,-0.59,-3.16,2.02,-8.6,7.68
033780,0.0,0.5,2.54,-5.29,-1.23,1.0
222800,2.79,-2.09,11.71,25.15,67.75,124.4
099320,1.47,-1.55,0.73,-4.07,-22.22,-33.71
001120,-3.04,8.02,11.6,23.67,9.19,10.58
294870,8.26,10.21,18.39,-20.56,-38.63,-31.66
083790,3.07,-0.87,-7.32,-12.98,-25.97,-39.6
088980,0.0,-1.09,-2.16,-2.16,9.68,21.43
035600,3.82,0.0,0.0,1.44,-6.61,-5.36
000120,3.91,1.53,9.92,1.53,-22.22,-20.83
122450,0.13,1.77,2.6,-6.37,-27.28,-26.57
011200,-3.09,13.06,41.81,22.76,-21.67,61.27
101490,3.2,1.93,-5.22,-13.54,-8.65,-15.31
005180,1.13,0.56,-1.1,3.67,-5.95,-7.41
241840,-1.86,5.67,23.59,8.19,0.32,-11.58
034310,0.6,2.13,-1.18,3.38,-6.93,-2.04
000400,1.22,-3.2,-4.03,0.0,-8.52,-2.06
100130,-1.54,-6.67,-2.21,14.91,-4.17,-3.53
002240,1.14,2.55,4.48,12.44,-18.27,35.89
095720,0.34,0.69,-2.51,-6.58,-21.98,13.67
001530,1.18,8.88,7.29,3.19,-27.89,59.83
016590,0.21,1.38,5.05,14.34,0.95,47.69
285130,2.59,-4.8,-8.46,-17.65,-33.94,-48.6
009150,0.32,-4.85,-6.55,-12.04,-14.91,-22.28
247540,3.16,-8.69,10.35,-31.95,12.14,119.35
000060,0.97,-5.94,-26.39,11.31,37.1,114.12
071050,1.42,-0.38,1.95,-3.09,-17.63,-12.29
036930,-1.01,-11.43,18.16,22.92,103.33,136.89
